episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,2.2,23.7298,-81.8944,0.0334,4.5575,nan,nan,nan
40,2000,5.9,36.4767,-141.2211,0.0169,6.6608,nan,nan,nan
60,3000,8.9,17.8347,-175.7856,0.0240,9.4727,nan,nan,nan
80,4000,11.4,15.5286,-210.7065,0.0439,8.9560,nan,nan,nan
100,,,,,,,,,
100,5000,15.0,21.5398,-297.0264,0.1091,9.9319,nan,nan,nan
120,6000,17.6,23.0965,-307.0219,0.2684,16.6764,nan,nan,nan
140,7000,20.6,11.0414,-444.2915,0.4482,15.6754,nan,nan,nan
160,8000,23.3,7.3798,-495.4125,0.7408,23.3631,nan,nan,nan
180,9000,26.0,13.5494,-475.7392,0.9953,15.9989,nan,nan,nan
200,,,,,,,,,
200,10000,29.7,6.7804,-585.8147,1.4785,22.3320,nan,nan,nan
220,11000,32.2,1.1118,-586.2427,1.8370,16.0098,nan,nan,nan
240,12000,35.8,-1.8009,-588.8187,2.4478,14.5234,nan,nan,nan
260,13000,38.8,2.3948,-627.4641,2.7680,11.4357,nan,nan,nan
280,14000,41.3,6.9264,-583.6893,3.3690,10.8261,nan,nan,nan
300,,,,,,,,,
300,15000,45.1,1.7624,-567.6975,3.4526,10.0506,nan,nan,nan
320,16000,47.7,1.1705,-452.0990,4.0044,11.1932,nan,nan,nan
340,17000,50.3,9.0213,-505.9200,3.7541,10.6033,nan,nan,nan
360,18000,52.9,8.5369,-528.2633,3.9458,9.6874,nan,nan,nan
380,19000,55.5,7.5085,-460.0668,3.5038,9.3562,nan,nan,nan
400,,,,,,,,,
400,20000,59.5,7.6788,-425.1735,3.4365,8.3186,nan,nan,nan
420,21000,62.3,8.8202,-500.7797,3.6311,9.2467,nan,nan,nan
440,22000,64.9,2.8708,-460.9888,3.4390,8.2919,nan,nan,nan
460,23000,67.6,1.8379,-424.5551,3.5126,8.2764,nan,nan,nan
480,24000,70.2,3.1949,-461.2320,3.4290,7.6345,nan,nan,nan
500,,,,,,,,,
500,25000,74.0,-0.3367,-462.3829,3.7424,8.1186,nan,nan,nan
520,26000,76.7,5.0030,-606.2461,3.7880,7.1215,nan,nan,nan
540,27000,79.4,6.8582,-665.5076,3.8646,7.0991,nan,nan,nan
560,28000,83.6,-1.9034,-694.0926,4.1342,7.8461,nan,nan,nan
580,29000,86.7,-1.7627,-710.7390,3.7630,7.4585,nan,nan,nan
600,,,,,,,,,
600,30000,90.7,2.0291,-684.8708,4.0996,8.4701,nan,nan,nan
620,31000,93.3,-7.5156,-697.7454,3.9268,10.2868,nan,nan,nan
640,32000,95.9,-1.0328,-700.3592,4.0569,8.3312,nan,nan,nan
660,33000,98.6,1.6105,-706.9851,4.0467,8.8937,nan,nan,nan
680,34000,101.2,-0.1216,-679.9650,4.5820,12.9242,nan,nan,nan
700,,,,,,,,,
700,35000,105.0,0.4244,-667.6795,4.2403,8.7829,nan,nan,nan
720,36000,107.6,1.6518,-682.9813,4.3521,8.4564,nan,nan,nan
740,37000,110.3,-3.7689,-714.5852,4.2571,8.6341,nan,nan,nan
760,38000,112.9,-5.0243,-726.5938,4.7870,9.6116,nan,nan,nan
780,39000,115.6,-2.4149,-690.0496,4.8647,9.1886,nan,nan,nan
800,,,,,,,,,
800,40000,119.6,3.0553,-687.9759,4.9217,9.3289,nan,nan,nan
820,41000,122.2,-6.1802,-715.8233,4.9382,10.3204,nan,nan,nan
840,42000,124.9,-6.4337,-720.1682,5.2141,10.0083,nan,nan,nan
860,43000,127.5,2.8204,-687.2213,4.8355,10.1751,nan,nan,nan
880,44000,130.2,-3.2430,-724.2032,5.0028,8.7993,nan,nan,nan
900,,,,,,,,,
900,45000,134.1,-4.3469,-686.2693,5.0259,9.8617,nan,nan,nan
920,46000,136.8,3.6001,-684.0668,4.9198,10.7087,nan,nan,nan
940,47000,139.5,4.2930,-669.5330,5.3981,10.5434,nan,nan,nan
960,48000,142.1,3.4844,-678.4407,5.3942,9.4957,nan,nan,nan
980,49000,144.8,-3.0234,-713.3411,6.2331,10.6129,nan,nan,nan
1000,,,,,,,,,
1000,50000,148.7,2.4920,-707.8408,5.6443,10.8774,nan,nan,nan
1020,51000,151.3,-5.7421,-704.2089,5.7577,11.7997,nan,nan,nan
1040,52000,153.8,-1.9180,-696.3645,5.5788,11.2095,nan,nan,nan
1060,53000,158.1,-1.9300,-684.1205,5.7756,13.1700,nan,nan,nan
1080,54000,161.3,1.5326,-690.4650,6.0333,12.1218,nan,nan,nan
1100,,,,,,,,,
1100,55000,165.1,-2.3299,-696.3402,6.2588,9.9527,nan,nan,nan
1120,56000,167.7,1.3008,-689.4905,6.2890,9.9033,nan,nan,nan
1140,57000,170.4,11.2654,-682.4753,6.1437,10.7649,nan,nan,nan
1160,58000,173.0,-1.0685,-715.5639,6.4682,11.2519,nan,nan,nan
1180,59000,175.7,-0.0200,-701.8709,6.4591,10.8109,nan,nan,nan
1200,,,,,,,,,
1200,60000,179.5,0.2603,-787.0803,6.3680,9.0962,nan,nan,nan
1220,61000,182.2,-0.3153,-837.9295,6.7507,14.6931,nan,nan,nan
1240,62000,184.9,7.0042,-787.2140,6.8461,12.1011,nan,nan,nan
1260,63000,187.5,-0.3318,-747.1467,7.7118,14.4404,nan,nan,nan
1280,64000,190.1,1.8173,-683.7528,7.3689,12.5443,nan,nan,nan
1300,,,,,,,,,
1300,65000,194.0,4.8716,-669.7833,7.1858,13.7329,nan,nan,nan
1320,66000,196.6,-0.4090,-663.3533,7.2751,8.4760,nan,nan,nan
