episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,3.9,24.9691,-94.6376,nan,nan,nan,nan,4.4733
40,2000,7.8,38.3983,-97.6428,nan,nan,nan,nan,8.0846
60,3000,10.6,22.7492,-149.5235,nan,nan,nan,nan,10.1868
80,4000,13.3,20.6964,-241.8609,nan,nan,nan,nan,12.8764
100,,,,,,,,,
100,5000,17.2,21.1187,-280.2087,nan,nan,nan,nan,14.3543
120,6000,19.6,17.3501,-299.8301,nan,nan,nan,nan,15.9597
140,7000,22.3,16.2324,-278.1605,nan,nan,nan,nan,20.2074
160,8000,24.8,19.0049,-207.0218,nan,nan,nan,nan,16.4271
180,9000,27.6,49.6653,-141.0150,nan,nan,nan,nan,17.7043
200,,,,,,,,,
200,10000,31.6,37.8146,-115.1857,nan,nan,nan,nan,14.2149
220,11000,34.2,40.7224,-119.4337,nan,nan,nan,nan,10.8864
240,12000,36.8,18.9220,-172.7905,nan,nan,nan,nan,12.4223
260,13000,39.5,14.3007,-407.4914,nan,nan,nan,nan,14.2196
280,14000,42.2,14.6750,-374.9099,nan,nan,nan,nan,13.9129
300,,,,,,,,,
300,15000,46.1,21.0565,-401.7369,nan,nan,nan,nan,15.6712
320,16000,48.6,7.1976,-441.4846,nan,nan,nan,nan,15.1704
340,17000,51.3,19.1433,-379.4645,nan,nan,nan,nan,19.8525
360,18000,54.0,43.6707,-176.5767,nan,nan,nan,nan,15.7133
380,19000,56.6,40.0177,-37.6495,nan,nan,nan,nan,13.3679
400,,,,,,,,,
400,20000,60.5,41.5344,-20.8747,nan,nan,nan,nan,10.7214
420,21000,63.0,48.8452,-90.0799,nan,nan,nan,nan,10.6765
440,22000,65.6,36.1694,-140.7208,nan,nan,nan,nan,10.9462
460,23000,68.2,25.3554,-163.6498,nan,nan,nan,nan,9.9383
480,24000,70.8,20.3839,-79.8448,nan,nan,nan,nan,8.6579
500,,,,,,,,,
500,25000,74.6,39.3206,-29.9697,nan,nan,nan,nan,9.5736
520,26000,77.1,55.2701,-31.2670,nan,nan,nan,nan,8.8032
540,27000,80.5,58.2761,-32.5707,nan,nan,nan,nan,9.3777
560,28000,83.4,58.0793,-26.1355,nan,nan,nan,nan,7.0195
580,29000,86.1,44.9404,-20.1230,nan,nan,nan,nan,8.3363
600,,,,,,,,,
600,30000,89.9,29.6217,-26.2993,nan,nan,nan,nan,7.5597
620,31000,92.5,19.5532,-36.1330,nan,nan,nan,nan,5.6592
640,32000,95.0,29.9090,-44.7139,nan,nan,nan,nan,7.7099
660,33000,97.7,51.3850,-18.8366,nan,nan,nan,nan,6.1509
680,34000,100.3,21.7812,-24.2297,nan,nan,nan,nan,5.9824
700,,,,,,,,,
700,35000,104.1,39.8514,-15.1386,nan,nan,nan,nan,5.2244
720,36000,106.6,33.4194,-10.8315,nan,nan,nan,nan,5.7470
740,37000,109.3,37.5936,-43.6822,nan,nan,nan,nan,5.4414
