episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,2.1,16.9476,-400.4972,nan,nan,nan,nan,nan
40,2000,4.1,39.8100,-85.5485,nan,nan,nan,nan,nan
60,3000,6.2,38.5926,-172.4356,nan,nan,nan,nan,nan
80,4000,8.3,51.8980,-103.9958,nan,nan,nan,nan,nan
100,,,,,,,,,
100,5000,11.5,38.1311,-109.2766,nan,nan,nan,nan,nan
120,6000,13.7,56.6036,-115.0440,nan,nan,nan,nan,nan
140,7000,15.7,59.5560,-117.6972,nan,nan,nan,nan,nan
160,8000,17.7,26.0317,-159.1049,nan,nan,nan,nan,nan
180,9000,19.7,38.6139,-95.8710,nan,nan,nan,nan,nan
200,,,,,,,,,
200,10000,22.8,38.2113,-64.1721,nan,nan,nan,nan,nan
220,11000,24.9,35.1498,-102.1639,nan,nan,nan,nan,nan
240,12000,26.9,35.7311,-92.8082,nan,nan,nan,nan,nan
260,13000,29.0,56.3821,-99.1102,nan,nan,nan,nan,nan
280,14000,31.1,31.5008,-137.9375,nan,nan,nan,nan,nan
300,,,,,,,,,
300,15000,34.0,52.9129,-100.9239,nan,nan,nan,nan,nan
320,16000,36.1,22.3894,-93.3053,nan,nan,nan,nan,nan
340,17000,38.2,51.2158,-121.1813,nan,nan,nan,nan,nan
360,18000,40.3,59.1713,-104.5657,nan,nan,nan,nan,nan
380,19000,42.3,44.5557,-112.4451,nan,nan,nan,nan,nan
400,,,,,,,,,
400,20000,45.4,41.2558,-101.2904,nan,nan,nan,nan,nan
420,21000,47.3,69.0166,-71.8619,nan,nan,nan,nan,nan
440,22000,49.4,48.5115,-119.1728,nan,nan,nan,nan,nan
460,23000,51.5,36.6349,-71.6002,nan,nan,nan,nan,nan
480,24000,53.5,69.7039,-57.8464,nan,nan,nan,nan,nan
500,,,,,,,,,
500,25000,56.6,56.7440,-104.5342,nan,nan,nan,nan,nan
520,26000,58.6,30.8741,-96.8838,nan,nan,nan,nan,nan
540,27000,60.5,61.0184,-96.4522,nan,nan,nan,nan,nan
560,28000,62.4,35.3824,-80.0644,nan,nan,nan,nan,nan
580,29000,64.5,50.9136,-59.5268,nan,nan,nan,nan,nan
600,,,,,,,,,
600,30000,67.5,65.9759,-50.9820,nan,nan,nan,nan,nan
620,31000,69.6,59.4697,-106.7640,nan,nan,nan,nan,nan
640,32000,71.8,27.7377,-133.3123,nan,nan,nan,nan,nan
660,33000,73.8,27.6627,-90.8257,nan,nan,nan,nan,nan
680,34000,75.8,40.7028,-40.0974,nan,nan,nan,nan,nan
700,,,,,,,,,
700,35000,78.8,72.9530,-69.3365,nan,nan,nan,nan,nan
