episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,3.1,33.4330,-32.1090,0.0003,0.6507,nan,nan,nan
40,2000,6.4,44.0857,-22.6521,-0.0831,0.7190,nan,nan,nan
60,3000,9.7,29.8317,-17.3454,-0.1523,0.7324,nan,nan,nan
80,4000,12.9,11.4951,-27.4303,-0.1378,0.6391,nan,nan,nan
100,,,,,,,,,
100,5000,17.3,32.6100,-18.6121,-0.1128,0.5851,nan,nan,nan
120,6000,20.4,29.3007,-24.2994,-0.1407,0.5811,nan,nan,nan
140,7000,23.4,48.0129,-20.0588,-0.1626,0.6451,nan,nan,nan
160,8000,26.5,43.9384,-29.6031,-0.1795,0.6268,nan,nan,nan
180,9000,29.7,37.0297,-37.9936,-0.2113,0.6652,nan,nan,nan
200,,,,,,,,,
200,10000,34.3,39.0744,-29.4361,-0.2542,0.7364,nan,nan,nan
220,11000,37.3,35.1702,-25.1862,-0.2571,0.6631,nan,nan,nan
240,12000,40.4,26.6382,-31.6513,-0.2576,0.6537,nan,nan,nan
260,13000,43.4,26.5464,-18.0779,-0.3145,0.7267,nan,nan,nan
280,14000,46.5,33.7245,-36.8926,-0.3147,0.6767,nan,nan,nan
300,,,,,,,,,
300,15000,50.9,33.9727,-33.0857,-0.3575,0.6795,nan,nan,nan
320,16000,54.0,33.6565,-18.5250,-0.3453,0.6984,nan,nan,nan
340,17000,57.1,32.1150,-15.7874,-0.3743,0.6170,nan,nan,nan
360,18000,60.3,40.9853,-44.9832,-0.3505,0.6973,nan,nan,nan
380,19000,63.4,33.1356,-21.5497,-0.4089,0.7196,nan,nan,nan
400,,,,,,,,,
400,20000,67.8,31.5146,-18.3047,-0.3841,0.6372,nan,nan,nan
420,21000,70.7,46.5169,-17.2376,-0.3853,0.6902,nan,nan,nan
440,22000,73.6,39.0623,-28.3468,-0.4287,0.6591,nan,nan,nan
460,23000,76.8,44.5408,-17.9348,-0.3982,0.7141,nan,nan,nan
480,24000,79.8,41.2543,-45.1279,-0.4324,0.6735,nan,nan,nan
500,,,,,,,,,
500,25000,84.1,32.2444,-22.0766,-0.4659,0.6784,nan,nan,nan
