episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,2.5,32.7361,-15.3259,nan,nan,nan,nan,2.3744
40,2000,5.1,52.9166,-21.8321,nan,nan,nan,nan,2.5022
60,3000,7.8,34.7362,-15.1783,nan,nan,nan,nan,2.3417
80,4000,10.5,37.1576,-31.4254,nan,nan,nan,nan,2.4099
100,,,,,,,,,
100,5000,14.7,39.6439,-36.2090,nan,nan,nan,nan,2.4413
120,6000,17.3,38.8682,-15.8373,nan,nan,nan,nan,2.3057
140,7000,20.2,55.1618,-20.1430,nan,nan,nan,nan,2.4050
160,8000,22.9,35.2588,-42.2244,nan,nan,nan,nan,2.3479
180,9000,25.9,45.9435,-36.5834,nan,nan,nan,nan,2.5459
200,,,,,,,,,
200,10000,30.1,40.9932,-29.0734,nan,nan,nan,nan,2.4440
220,11000,32.9,60.6832,-29.0776,nan,nan,nan,nan,2.6266
240,12000,35.6,50.2791,-30.8014,nan,nan,nan,nan,2.5846
260,13000,38.5,65.4817,-30.0305,nan,nan,nan,nan,2.6377
280,14000,41.3,58.7272,-19.7693,nan,nan,nan,nan,2.6232
300,,,,,,,,,
300,15000,45.5,42.6239,-38.7690,nan,nan,nan,nan,2.6009
320,16000,48.3,60.4766,-31.1238,nan,nan,nan,nan,2.6957
340,17000,51.2,68.0171,-13.7469,nan,nan,nan,nan,2.9024
360,18000,53.9,78.2081,-29.6563,nan,nan,nan,nan,3.0182
380,19000,56.8,51.1354,-25.9251,nan,nan,nan,nan,3.0070
400,,,,,,,,,
400,20000,61.1,81.9175,-29.6251,nan,nan,nan,nan,2.9407
420,21000,63.8,51.8155,-23.7429,nan,nan,nan,nan,2.9109
440,22000,66.6,34.5949,-34.1025,nan,nan,nan,nan,3.0744
460,23000,69.5,70.1483,-22.5084,nan,nan,nan,nan,2.9888
480,24000,72.4,60.4383,-14.7978,nan,nan,nan,nan,3.1511
500,,,,,,,,,
500,25000,76.7,59.3105,-21.9475,nan,nan,nan,nan,2.9943
