episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,4.2,37.3528,-92.5683,-0.0052,0.6767,2.0623,0.0013,nan
40,2000,9.1,66.8603,-50.5692,-0.0021,0.8707,2.0526,0.0004,nan
60,3000,13.4,75.1499,-22.3673,-0.0018,0.4267,2.0450,0.0001,nan
80,4000,17.8,88.2497,-32.7363,-0.0014,0.3883,2.0325,0.0002,nan
100,,,,,,,,,
100,5000,23.9,110.0062,-22.7408,-0.0012,0.3520,2.0270,0.0002,nan
120,6000,28.2,115.6335,-16.0584,-0.0011,0.1996,2.0226,0.0001,nan
140,7000,32.5,105.3844,-16.8307,-0.0011,0.1546,2.0157,0.0000,nan
160,8000,37.0,121.1932,-16.1367,-0.0016,0.1029,2.0171,0.0004,nan
180,9000,41.3,135.5996,-17.7421,-0.0015,0.0843,2.0075,0.0001,nan
200,,,,,,,,,
200,10000,47.5,165.4937,-19.3147,-0.0017,0.0797,2.0003,0.0001,nan
