episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,5.1,18.1897,-69.2454,-0.0043,0.5028,2.0629,0.0004,nan
40,2000,10.3,36.7436,-30.8876,-0.0022,0.5458,2.0566,0.0001,nan
60,3000,15.4,41.7851,-18.7084,-0.0019,0.5334,2.0497,0.0003,nan
80,4000,20.5,53.8648,-14.1733,-0.0015,0.4488,2.0463,0.0003,nan
100,,,,,,,,,
100,5000,28.2,79.9334,-15.4226,-0.0015,0.2809,2.0357,0.0004,nan
120,6000,33.7,117.2637,-15.2985,-0.0015,0.2933,2.0339,0.0001,nan
140,7000,38.7,80.7922,-15.3604,-0.0018,0.2308,2.0256,0.0003,nan
160,8000,43.8,146.7842,-13.0297,-0.0015,0.1178,2.0217,0.0003,nan
180,9000,48.8,116.5589,-13.3428,-0.0020,0.0887,2.0110,0.0002,nan
200,,,,,,,,,
200,10000,56.1,92.0251,-11.3048,-0.0013,0.0680,2.0014,0.0004,nan
220,11000,61.1,84.0805,-7.7932,-0.0015,0.0530,1.9901,-0.0002,nan
240,12000,66.1,111.2260,-11.4688,-0.0019,0.0467,1.9912,0.0003,nan
260,13000,71.0,139.7234,-14.7264,-0.0020,0.0547,1.9964,0.0004,nan
280,14000,76.2,193.5839,-18.4199,-0.0016,0.0655,1.9929,0.0001,nan
300,,,,,,,,,
300,15000,84.1,209.0587,-23.5864,-0.0013,0.0933,1.9926,0.0003,nan
320,16000,89.3,224.3093,-21.1127,-0.0012,0.0767,1.9914,0.0002,nan
340,17000,94.4,206.0141,-19.6414,-0.0012,0.0640,1.9880,0.0001,nan
360,18000,99.5,242.7599,-26.8870,-0.0011,0.1207,1.9828,0.0002,nan
380,19000,105.0,235.2162,-22.4299,-0.0011,0.0943,1.9757,0.0001,nan
400,,,,,,,,,
400,20000,112.9,262.4952,-24.4564,-0.0013,0.0879,1.9818,0.0001,nan
420,21000,118.1,252.5788,-26.3996,-0.0012,0.1304,1.9604,0.0001,nan
440,22000,123.3,229.7283,-22.0932,-0.0014,0.0977,1.9621,0.0000,nan
460,23000,128.5,203.0209,-17.6896,-0.0017,0.0768,1.9500,0.0007,nan
480,24000,133.6,220.2077,-17.8896,-0.0018,0.0736,1.9586,0.0001,nan
500,,,,,,,,,
500,25000,140.7,207.5288,-20.6435,-0.0021,0.0722,1.9602,0.0007,nan
520,26000,145.9,189.8973,-28.9932,-0.0016,0.1425,1.9426,0.0003,nan
540,27000,151.2,195.2978,-28.8682,-0.0016,0.1419,1.9286,0.0004,nan
560,28000,156.3,166.9075,-42.9280,-0.0020,0.4714,1.9159,0.0001,nan
580,29000,161.5,272.6565,-34.8398,-0.0023,0.2156,1.9206,0.0002,nan
600,,,,,,,,,
600,30000,169.1,325.5894,-29.8002,-0.0016,0.1642,1.9161,0.0008,nan
620,31000,174.2,369.8980,-28.3881,-0.0020,0.1504,1.9233,-0.0001,nan
640,32000,179.4,270.8729,-24.5288,-0.0017,0.1032,1.9062,0.0003,nan
660,33000,184.6,184.9751,-23.5501,-0.0014,0.0821,1.9122,-0.0000,nan
680,34000,189.6,223.9550,-25.4180,-0.0015,0.0989,1.9145,0.0003,nan
700,,,,,,,,,
700,35000,196.7,224.2781,-30.7401,-0.0017,0.1586,1.9011,0.0004,nan
720,36000,201.8,279.1359,-24.1572,-0.0021,0.0989,1.8987,0.0001,nan
740,37000,206.8,358.7662,-29.6656,-0.0018,0.0914,1.8894,0.0005,nan
760,38000,211.8,325.5548,-26.0722,-0.0013,0.1112,1.8944,-0.0000,nan
780,39000,216.8,284.6311,-32.4376,-0.0013,0.1013,1.8739,0.0000,nan
800,,,,,,,,,
800,40000,223.9,290.4962,-22.5088,-0.0013,0.0844,1.8927,0.0002,nan
820,41000,228.9,277.2514,-30.0457,-0.0012,0.1251,1.8865,0.0001,nan
840,42000,233.9,279.7370,-29.8010,-0.0014,0.0935,1.8700,0.0003,nan
860,43000,238.9,271.7579,-29.1415,-0.0015,0.1427,1.8764,0.0002,nan
880,44000,243.9,302.9508,-30.9476,-0.0018,0.1159,1.8756,0.0003,nan
900,,,,,,,,,
900,45000,251.1,272.3244,-25.7995,-0.0018,0.0991,1.8722,-0.0001,nan
920,46000,255.9,287.9390,-34.6360,-0.0019,0.1696,1.8780,0.0003,nan
940,47000,261.0,263.7802,-31.4369,-0.0016,0.1420,1.8762,0.0004,nan
960,48000,265.8,240.0779,-24.2653,-0.0018,0.1036,1.8851,0.0004,nan
980,49000,270.8,278.8973,-28.9554,-0.0019,0.1300,1.8765,0.0006,nan
1000,,,,,,,,,
1000,50000,278.0,236.4209,-22.2732,-0.0019,0.1050,1.8778,-0.0001,nan
1020,51000,283.0,233.6458,-27.4788,-0.0015,0.1263,1.8764,0.0001,nan
1040,52000,288.0,239.6231,-27.2494,-0.0019,0.0992,1.8875,0.0004,nan
1060,53000,293.0,296.0312,-30.5542,-0.0012,0.1386,1.8950,0.0002,nan
1080,54000,298.0,252.1304,-28.9315,-0.0016,0.1235,1.8565,0.0006,nan
1100,,,,,,,,,
1100,55000,305.4,305.7435,-33.5194,-0.0018,0.1320,1.8745,0.0006,nan
1120,56000,310.6,335.5519,-31.8366,-0.0018,0.1038,1.8607,0.0005,nan
1140,57000,315.9,203.6966,-30.5431,-0.0019,0.1407,1.8548,-0.0001,nan
1160,58000,321.1,207.0380,-22.6993,-0.0017,0.1036,1.8692,0.0004,nan
1180,59000,326.6,217.8808,-20.9749,-0.0017,0.0873,1.8573,0.0010,nan
1200,,,,,,,,,
1200,60000,334.2,222.7995,-23.2050,-0.0022,0.1020,1.8628,0.0005,nan
1220,61000,339.5,262.7169,-29.4499,-0.0023,0.1729,1.8574,0.0006,nan
1240,62000,344.8,249.7764,-28.2637,-0.0018,0.1232,1.8470,0.0003,nan
1260,63000,350.2,379.1622,-35.1333,-0.0014,0.1655,1.8476,0.0006,nan
1280,64000,355.1,375.8512,-30.2885,-0.0014,0.1497,1.8673,0.0004,nan
1300,,,,,,,,,
1300,65000,361.9,305.1057,-32.4075,-0.0015,0.1473,1.8401,0.0001,nan
1320,66000,366.9,359.5920,-28.3319,-0.0010,0.1137,1.8549,0.0001,nan
1340,67000,371.9,347.7405,-33.4638,-0.0013,0.1176,1.8592,0.0003,nan
1360,68000,376.8,298.7478,-36.9099,-0.0012,0.1699,1.8368,0.0002,nan
1380,69000,381.7,307.2720,-45.2991,-0.0013,0.2731,1.8454,0.0002,nan
1400,,,,,,,,,
1400,70000,388.7,314.3977,-34.3315,-0.0018,0.1390,1.8201,0.0005,nan
1420,71000,393.5,316.7801,-31.1986,-0.0022,0.1341,1.8341,0.0002,nan
1440,72000,398.5,367.8876,-33.9701,-0.0013,0.1680,1.8451,0.0001,nan
1460,73000,403.5,307.0881,-27.5271,-0.0018,0.1260,1.8151,0.0003,nan
1480,74000,408.4,250.7060,-26.7463,-0.0016,0.1384,1.8365,0.0001,nan
1500,,,,,,,,,
1500,75000,415.7,210.3982,-21.0583,-0.0020,0.1022,1.8439,0.0002,nan
1520,76000,421.1,217.5207,-35.7261,-0.0016,0.2454,1.8372,0.0004,nan
1540,77000,426.3,216.8710,-30.6858,-0.0019,0.3132,1.8214,0.0004,nan
1560,78000,431.3,301.7785,-22.3470,-0.0021,0.0994,1.8125,0.0004,nan
1580,79000,436.3,267.4202,-22.9352,-0.0019,0.0774,1.8212,0.0008,nan
1600,,,,,,,,,
1600,80000,443.8,283.2907,-34.7466,-0.0017,0.2249,1.8135,0.0004,nan
1620,81000,448.8,283.7205,-36.1649,-0.0013,0.1786,1.8346,0.0002,nan
1640,82000,453.8,352.4871,-34.7989,-0.0014,0.1616,1.8195,0.0001,nan
1660,83000,458.8,315.4401,-30.8866,-0.0015,0.1163,1.8169,0.0006,nan
1680,84000,463.9,316.8278,-27.9676,-0.0014,0.1198,1.8264,-0.0001,nan
1700,,,,,,,,,
1700,85000,471.0,309.7063,-34.7559,-0.0021,0.1384,1.8109,0.0003,nan
1720,86000,476.2,288.4580,-31.2112,-0.0019,0.2064,1.8118,0.0002,nan
1740,87000,481.2,263.8416,-36.3046,-0.0010,0.2075,1.8088,0.0004,nan
1760,88000,486.5,321.4281,-32.2265,-0.0013,0.1354,1.8239,-0.0001,nan
