episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,18.0,37.3528,-92.5683,-0.0052,0.6767,2.0623,0.0013,nan
40,2000,32.3,66.8603,-50.5692,-0.0021,0.8707,2.0526,0.0004,nan
60,3000,43.7,75.1499,-22.3673,-0.0018,0.4267,2.0450,0.0001,nan
80,4000,54.9,88.2497,-32.7363,-0.0014,0.3883,2.0325,0.0002,nan
100,,,,,,,,,
100,5000,70.8,110.0062,-22.7408,-0.0012,0.3520,2.0270,0.0002,nan
120,6000,82.4,115.6335,-16.0584,-0.0011,0.1996,2.0226,0.0001,nan
140,7000,94.4,105.3844,-16.8307,-0.0011,0.1546,2.0157,0.0000,nan
160,8000,107.1,121.1932,-16.1367,-0.0016,0.1029,2.0171,0.0004,nan
180,9000,119.2,135.5996,-17.7421,-0.0015,0.0843,2.0075,0.0001,nan
200,,,,,,,,,
200,10000,136.9,165.4937,-19.3147,-0.0017,0.0797,2.0003,0.0001,nan
220,11000,149.6,134.1288,-17.1016,-0.0018,0.0731,1.9972,0.0002,nan
240,12000,160.5,127.8777,-14.3377,-0.0016,0.0617,2.0005,0.0002,nan
260,13000,171.3,122.3611,-16.9070,-0.0015,0.0607,1.9904,0.0002,nan
280,14000,187.8,111.6078,-16.0710,-0.0018,0.0745,1.9881,0.0003,nan
300,,,,,,,,,
300,15000,201.8,158.4652,-20.8499,-0.0020,0.0948,1.9807,0.0003,nan
320,16000,211.3,124.0506,-20.6870,-0.0017,0.0984,1.9755,0.0000,nan
340,17000,220.9,179.0108,-20.1520,-0.0017,0.1015,1.9783,0.0002,nan
360,18000,231.1,178.3235,-16.8204,-0.0017,0.0867,1.9613,0.0002,nan
380,19000,241.0,179.1032,-20.3995,-0.0011,0.1160,1.9564,0.0006,nan
400,,,,,,,,,
400,20000,254.3,177.0897,-17.2598,-0.0016,0.0902,1.9523,0.0000,nan
420,21000,263.3,214.9653,-28.9458,-0.0022,0.1543,1.9387,0.0000,nan
440,22000,272.6,192.6226,-25.2496,-0.0015,0.1691,1.9389,0.0003,nan
460,23000,281.9,172.1929,-26.5145,-0.0008,0.2272,1.9394,0.0002,nan
480,24000,291.1,167.6392,-23.6702,-0.0015,0.2599,1.9378,0.0002,nan
500,,,,,,,,,
500,25000,304.3,160.7668,-24.9491,-0.0015,0.1675,1.9306,0.0005,nan
