episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,3.7,43.1191,-15.2080,-0.0039,0.2781,2.2921,0.0000,nan
40,2000,7.4,41.8740,-18.6046,-0.0017,0.4701,2.2879,0.0002,nan
60,3000,11.1,51.5350,-17.6373,-0.0012,1.1108,2.2855,0.0001,nan
80,4000,14.9,37.8268,-26.4371,-0.0015,0.3649,2.2813,0.0003,nan
100,,,,,,,,,
100,5000,20.1,65.8519,-27.8289,-0.0013,0.4868,2.2754,0.0003,nan
120,6000,23.7,70.0711,-17.3019,-0.0012,0.3964,2.2671,0.0002,nan
140,7000,27.3,66.0681,-25.6826,-0.0014,0.2819,2.2550,0.0001,nan
160,8000,30.9,61.8633,-40.7510,-0.0010,0.2097,2.2547,-0.0002,nan
180,9000,34.6,77.5590,-40.1362,-0.0014,0.1629,2.2489,0.0001,nan
200,,,,,,,,,
200,10000,39.9,66.5659,-28.6374,-0.0012,0.1805,2.2519,0.0002,nan
220,11000,43.5,65.0398,-46.4758,-0.0021,0.1310,2.2556,0.0003,nan
240,12000,47.0,69.7306,-22.6857,-0.0016,0.2276,2.2426,0.0002,nan
260,13000,50.7,84.2022,-23.4306,-0.0012,0.1764,2.2390,0.0001,nan
280,14000,54.5,105.6189,-23.1719,-0.0010,0.2507,2.2391,0.0000,nan
300,,,,,,,,,
300,15000,59.8,50.7908,-27.7910,-0.0013,0.1040,2.2435,-0.0001,nan
320,16000,63.4,73.4279,-23.4495,-0.0014,0.1084,2.2367,0.0003,nan
340,17000,67.1,92.2200,-18.5492,-0.0012,0.1681,2.2435,0.0000,nan
360,18000,70.8,95.5320,-32.6931,-0.0013,0.1792,2.2342,0.0003,nan
380,19000,74.5,96.4488,-25.1545,-0.0017,0.1859,2.2310,0.0004,nan
400,,,,,,,,,
400,20000,79.7,93.4734,-31.2312,-0.0013,0.1937,2.2212,0.0002,nan
420,21000,83.3,126.9903,-25.3014,-0.0012,0.2484,2.2096,0.0002,nan
440,22000,87.0,123.7347,-21.4245,-0.0015,0.2252,2.2138,-0.0001,nan
460,23000,90.7,127.7183,-17.7150,-0.0012,0.1712,2.2101,-0.0000,nan
480,24000,94.3,134.8629,-25.6501,-0.0015,0.2552,2.2095,0.0003,nan
500,,,,,,,,,
500,25000,99.5,107.4955,-21.7543,-0.0014,0.1365,2.1825,-0.0001,nan
520,26000,103.3,121.6973,-30.4467,-0.0019,0.1630,2.1833,0.0001,nan
540,27000,106.9,133.7034,-27.5399,-0.0009,0.1802,2.1773,0.0004,nan
560,28000,110.7,139.5973,-28.2438,-0.0013,0.1765,2.1826,0.0000,nan
580,29000,114.4,152.7712,-17.5159,-0.0016,0.1813,2.1798,0.0000,nan
600,,,,,,,,,
600,30000,119.7,125.8635,-30.2325,-0.0021,0.1482,2.1510,0.0004,nan
620,31000,123.3,109.0480,-31.2479,-0.0016,0.1097,2.1738,0.0006,nan
640,32000,127.0,125.0471,-29.5076,-0.0016,0.1509,2.1779,-0.0001,nan
660,33000,130.8,113.1719,-24.1427,-0.0008,0.0720,2.1708,0.0003,nan
680,34000,134.5,166.9592,-22.7701,-0.0013,0.1608,2.1612,0.0001,nan
700,,,,,,,,,
700,35000,139.8,141.9757,-17.1740,-0.0013,0.0919,2.1580,0.0002,nan
720,36000,143.5,151.8707,-19.2408,-0.0014,0.0897,2.1459,0.0005,nan
740,37000,147.1,132.5523,-33.8818,-0.0013,0.1223,2.1553,0.0002,nan
760,38000,150.8,163.7610,-36.4868,-0.0013,0.1299,2.1526,0.0003,nan
780,39000,154.5,176.3722,-25.3034,-0.0017,0.1255,2.1647,0.0001,nan
800,,,,,,,,,
800,40000,159.9,174.5654,-23.1199,-0.0014,0.1339,2.1672,0.0002,nan
820,41000,163.5,149.2527,-34.9344,-0.0011,0.0979,2.1748,0.0001,nan
840,42000,167.1,171.2795,-30.9769,-0.0011,0.1602,2.1754,0.0001,nan
860,43000,170.8,175.6513,-18.8436,-0.0010,0.0951,2.1732,0.0002,nan
880,44000,174.5,180.9703,-24.1373,-0.0012,0.1119,2.1648,0.0002,nan
900,,,,,,,,,
900,45000,179.8,149.5031,-23.3094,-0.0011,0.1148,2.1694,0.0000,nan
920,46000,183.6,176.4388,-28.6710,-0.0012,0.0758,2.1640,0.0001,nan
940,47000,187.3,220.7982,-21.9978,-0.0015,0.1070,2.1640,-0.0000,nan
960,48000,190.9,227.1687,-28.3860,-0.0008,0.0761,2.1605,-0.0001,nan
980,49000,194.8,151.2521,-22.2948,-0.0011,0.0789,2.1451,0.0003,nan
1000,,,,,,,,,
1000,50000,200.1,151.2487,-34.3596,-0.0012,0.0631,2.1647,0.0003,nan
1020,51000,203.7,169.7266,-28.5192,-0.0012,0.0971,2.1639,0.0003,nan
1040,52000,207.3,199.6309,-26.4907,-0.0013,0.0698,2.1498,0.0002,nan
1060,53000,210.9,183.6565,-27.6174,-0.0011,0.1057,2.1632,0.0003,nan
1080,54000,214.6,162.3416,-32.2517,-0.0014,0.0649,2.1521,0.0000,nan
1100,,,,,,,,,
1100,55000,220.0,152.4527,-26.1394,-0.0016,0.0589,2.1405,0.0002,nan
1120,56000,223.5,177.2749,-28.4737,-0.0014,0.0915,2.1257,0.0002,nan
1140,57000,227.3,221.9076,-29.0209,-0.0014,0.1170,2.1103,0.0003,nan
1160,58000,231.0,184.0879,-32.2899,-0.0014,0.1168,2.1103,0.0000,nan
1180,59000,234.7,199.1378,-25.2490,-0.0013,0.0572,2.1114,-0.0001,nan
1200,,,,,,,,,
1200,60000,240.1,209.1900,-28.5645,-0.0015,0.1063,2.1326,0.0005,nan
1220,61000,243.7,187.5534,-27.1484,-0.0008,0.0982,2.1105,-0.0002,nan
1240,62000,247.4,196.7224,-22.0180,-0.0013,0.0890,2.1196,0.0002,nan
1260,63000,251.2,185.9230,-29.0169,-0.0012,0.0939,2.1066,0.0000,nan
1280,64000,254.8,173.0369,-26.3971,-0.0013,0.0806,2.1088,0.0001,nan
1300,,,,,,,,,
1300,65000,260.2,157.3634,-24.7069,-0.0012,0.0921,2.1263,0.0002,nan
1320,66000,263.8,163.4358,-28.2146,-0.0014,0.1116,2.1072,0.0002,nan
1340,67000,267.5,159.4575,-30.5801,-0.0015,0.0819,2.1048,0.0001,nan
1360,68000,271.1,207.5542,-21.1038,-0.0015,0.0926,2.1008,0.0001,nan
1380,69000,274.8,237.5108,-25.7146,-0.0015,0.1391,2.1144,0.0000,nan
1400,,,,,,,,,
1400,70000,280.0,190.2376,-23.0434,-0.0016,0.0795,2.1056,0.0002,nan
1420,71000,283.7,209.1902,-22.8847,-0.0020,0.0647,2.0953,0.0006,nan
1440,72000,287.4,189.7948,-24.5853,-0.0016,0.0574,2.0936,0.0005,nan
1460,73000,291.1,201.3606,-33.3156,-0.0010,0.0940,2.0825,-0.0001,nan
1480,74000,294.8,189.3402,-26.9003,-0.0009,0.1005,2.0893,0.0003,nan
1500,,,,,,,,,
1500,75000,300.1,181.7882,-28.4294,-0.0014,0.0887,2.0730,0.0004,nan
1520,76000,303.8,186.0334,-32.0694,-0.0013,0.0975,2.0924,-0.0001,nan
1540,77000,307.5,184.2982,-20.1251,-0.0015,0.0690,2.0757,-0.0000,nan
1560,78000,311.2,213.1908,-24.8582,-0.0012,0.0596,2.0983,0.0001,nan
1580,79000,314.9,215.6360,-26.7509,-0.0015,0.0826,2.0743,0.0002,nan
1600,,,,,,,,,
1600,80000,320.2,202.8270,-24.2894,-0.0015,0.0865,2.0985,0.0004,nan
1620,81000,323.8,191.3372,-32.0370,-0.0011,0.1164,2.0975,0.0004,nan
1640,82000,327.4,172.8173,-30.6331,-0.0013,0.1158,2.0850,0.0002,nan
1660,83000,331.0,173.4255,-27.7150,-0.0017,0.0631,2.0936,0.0005,nan
1680,84000,334.6,206.8917,-36.9046,-0.0014,0.1016,2.1046,0.0003,nan
1700,,,,,,,,,
1700,85000,339.9,207.4558,-28.0357,-0.0012,0.1405,2.1069,0.0001,nan
1720,86000,343.6,201.3422,-33.7926,-0.0011,0.0988,2.0966,0.0002,nan
1740,87000,347.3,249.8869,-36.1478,-0.0017,0.1179,2.0876,0.0002,nan
1760,88000,351.0,195.7075,-25.9370,-0.0014,0.1070,2.0899,0.0006,nan
1780,89000,354.6,280.0041,-25.5090,-0.0015,0.1221,2.0906,0.0001,nan
1800,,,,,,,,,
1800,90000,359.9,211.2827,-23.2077,-0.0013,0.0622,2.0798,0.0001,nan
1820,91000,363.5,208.0555,-25.6054,-0.0014,0.0692,2.0927,-0.0001,nan
1840,92000,367.3,209.9617,-28.6141,-0.0011,0.1545,2.0838,0.0004,nan
1860,93000,371.0,176.2568,-21.9858,-0.0013,0.0870,2.0902,0.0000,nan
1880,94000,374.7,234.9351,-21.6603,-0.0012,0.0946,2.0927,0.0002,nan
1900,,,,,,,,,
1900,95000,379.9,218.1293,-31.6351,-0.0017,0.0957,2.0917,0.0001,nan
1920,96000,383.5,164.1834,-25.8990,-0.0016,0.0910,2.0941,0.0001,nan
