episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,3.5,38.1377,-23.6400,-0.0042,0.3143,2.2916,0.0004,nan
40,2000,7.1,37.8716,-23.2403,-0.0019,0.4759,2.2868,0.0005,nan
60,3000,10.7,41.8724,-18.2264,-0.0013,0.3725,2.2859,0.0001,nan
80,4000,14.3,85.6540,-32.8622,-0.0013,0.8095,2.2837,0.0003,nan
100,,,,,,,,,
100,5000,19.5,68.8253,-16.7689,-0.0010,0.3498,2.2790,-0.0001,nan
120,6000,23.1,86.3873,-20.7068,-0.0016,0.3266,2.2753,0.0002,nan
140,7000,26.8,45.8699,-28.9362,-0.0015,0.2283,2.2673,0.0002,nan
160,8000,30.3,50.6845,-33.6773,-0.0022,0.1446,2.2655,-0.0001,nan
180,9000,34.0,64.4188,-27.5180,-0.0017,0.1218,2.2609,-0.0001,nan
200,,,,,,,,,
200,10000,39.1,82.2788,-24.4604,-0.0015,0.2616,2.2491,0.0003,nan
220,11000,42.7,108.4155,-24.9655,-0.0020,0.2749,2.2449,0.0003,nan
240,12000,46.3,105.2160,-26.7101,-0.0019,0.1545,2.2308,0.0004,nan
260,13000,49.9,109.6199,-17.8873,-0.0017,0.0991,2.2285,0.0004,nan
280,14000,53.4,74.5989,-21.1128,-0.0011,0.1464,2.2170,-0.0001,nan
300,,,,,,,,,
300,15000,58.4,122.2045,-22.7676,-0.0015,0.1582,2.2136,0.0000,nan
320,16000,62.1,139.2096,-17.6910,-0.0013,0.1802,2.2103,0.0003,nan
340,17000,65.9,141.0674,-22.3918,-0.0017,0.2329,2.2092,0.0001,nan
360,18000,69.5,143.0772,-34.8305,-0.0014,0.1055,2.2017,0.0002,nan
380,19000,73.3,151.3380,-20.3535,-0.0011,0.1614,2.2032,0.0005,nan
400,,,,,,,,,
400,20000,78.6,154.8513,-24.8835,-0.0015,0.1029,2.1931,0.0004,nan
420,21000,82.2,136.7859,-25.3425,-0.0014,0.1278,2.1852,0.0001,nan
440,22000,85.8,86.6852,-36.3535,-0.0014,0.1133,2.1879,-0.0004,nan
460,23000,89.5,98.6822,-27.7537,-0.0018,0.1099,2.1722,-0.0002,nan
480,24000,93.1,145.3108,-25.4275,-0.0014,0.0772,2.1821,0.0002,nan
500,,,,,,,,,
500,25000,98.3,141.9547,-24.0807,-0.0014,0.0844,2.1645,0.0003,nan
520,26000,101.9,136.0083,-19.8607,-0.0016,0.1030,2.1569,0.0003,nan
540,27000,105.6,165.7509,-22.4408,-0.0009,0.0953,2.1608,0.0002,nan
560,28000,109.4,134.3674,-21.0071,-0.0014,0.1239,2.1295,0.0001,nan
580,29000,113.1,151.9164,-19.9469,-0.0009,0.0776,2.1462,-0.0001,nan
600,,,,,,,,,
600,30000,118.4,149.5872,-23.1392,-0.0015,0.0748,2.1439,0.0001,nan
620,31000,121.9,202.6196,-18.7988,-0.0014,0.1072,2.1453,0.0000,nan
640,32000,125.6,203.0382,-27.0397,-0.0018,0.0946,2.1331,0.0006,nan
660,33000,129.3,158.6883,-21.8295,-0.0020,0.0890,2.1142,0.0004,nan
680,34000,133.0,198.2418,-24.4553,-0.0016,0.1064,2.1113,0.0003,nan
700,,,,,,,,,
700,35000,138.2,151.3983,-28.2588,-0.0013,0.0799,2.0819,0.0003,nan
720,36000,141.9,220.8877,-26.4056,-0.0013,0.1401,2.1030,0.0002,nan
740,37000,145.6,194.8964,-36.1860,-0.0018,0.1120,2.1012,0.0000,nan
760,38000,149.2,194.5359,-31.3217,-0.0013,0.0881,2.0875,0.0000,nan
780,39000,152.8,172.7398,-26.7707,-0.0016,0.0838,2.0717,0.0003,nan
800,,,,,,,,,
800,40000,158.1,207.1825,-25.5501,-0.0013,0.1287,2.0876,0.0001,nan
820,41000,161.6,135.5006,-30.5355,-0.0019,0.0874,2.0871,0.0004,nan
840,42000,165.3,166.8608,-28.6191,-0.0014,0.1143,2.1036,0.0003,nan
860,43000,169.0,163.7573,-26.1295,-0.0013,0.0679,2.1125,0.0001,nan
880,44000,172.6,170.9560,-22.9402,-0.0013,0.0786,2.1143,-0.0002,nan
900,,,,,,,,,
900,45000,177.8,162.2985,-21.2421,-0.0010,0.0803,2.0862,0.0003,nan
920,46000,181.5,165.6796,-32.6330,-0.0017,0.0628,2.0911,0.0004,nan
940,47000,185.2,174.0849,-21.5919,-0.0010,0.1108,2.1052,0.0000,nan
960,48000,188.8,165.9365,-23.3362,-0.0012,0.0779,2.1087,0.0004,nan
980,49000,192.6,190.0397,-28.1398,-0.0015,0.0925,2.0875,0.0003,nan
1000,,,,,,,,,
1000,50000,197.9,163.2263,-21.0742,-0.0015,0.0603,2.1122,0.0001,nan
1020,51000,201.6,151.9048,-20.2349,-0.0016,0.0726,2.1206,0.0002,nan
