episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,3.6,40.2372,-25.7023,-0.0042,0.3063,2.2916,0.0004,nan
40,2000,7.2,41.6839,-26.3416,-0.0020,0.4313,2.2871,0.0005,nan
60,3000,10.9,33.0957,-17.9817,-0.0011,0.2634,2.2849,0.0002,nan
80,4000,14.5,85.5833,-34.1635,-0.0012,0.9100,2.2828,0.0003,nan
100,,,,,,,,,
100,5000,19.7,66.7654,-16.4234,-0.0009,0.4660,2.2796,0.0000,nan
120,6000,23.3,91.1599,-19.0712,-0.0017,0.4333,2.2761,0.0002,nan
140,7000,27.0,50.5182,-30.7507,-0.0017,0.2658,2.2663,0.0003,nan
160,8000,30.7,66.2477,-32.0869,-0.0019,0.1740,2.2669,-0.0002,nan
180,9000,34.3,68.6999,-17.7138,-0.0016,0.1291,2.2612,-0.0000,nan
200,,,,,,,,,
200,10000,39.5,87.9723,-23.2846,-0.0013,0.2436,2.2485,0.0004,nan
220,11000,43.1,102.3460,-24.5512,-0.0014,0.2146,2.2538,0.0003,nan
240,12000,46.8,113.0331,-26.6461,-0.0017,0.1612,2.2344,0.0003,nan
260,13000,50.5,135.3637,-15.6849,-0.0012,0.1547,2.2419,0.0003,nan
280,14000,54.1,67.7871,-22.0662,-0.0012,0.1351,2.2290,0.0001,nan
300,,,,,,,,,
300,15000,59.3,119.2634,-24.5070,-0.0014,0.1281,2.2275,0.0002,nan
320,16000,62.9,121.2246,-18.6898,-0.0012,0.1266,2.2317,-0.0000,nan
340,17000,66.6,106.3324,-22.4795,-0.0016,0.0913,2.2297,-0.0000,nan
360,18000,70.2,106.5032,-30.0944,-0.0014,0.0647,2.2219,-0.0000,nan
380,19000,73.9,151.8741,-22.0902,-0.0015,0.1042,2.2198,0.0003,nan
400,,,,,,,,,
400,20000,79.3,137.7724,-22.2600,-0.0017,0.0834,2.2078,0.0003,nan
420,21000,82.7,138.3200,-23.4831,-0.0009,0.2564,2.2047,0.0001,nan
440,22000,86.5,74.8778,-38.3837,-0.0020,0.1035,2.1983,0.0001,nan
460,23000,90.2,91.7440,-32.4000,-0.0020,0.1183,2.1806,-0.0001,nan
480,24000,93.8,127.5634,-23.6040,-0.0017,0.0703,2.1926,0.0003,nan
500,,,,,,,,,
500,25000,99.1,141.7933,-24.5896,-0.0017,0.0979,2.1959,0.0004,nan
520,26000,102.8,115.5950,-17.3842,-0.0017,0.1098,2.1740,0.0003,nan
540,27000,106.5,166.2484,-25.0998,-0.0013,0.1341,2.1812,0.0002,nan
560,28000,110.3,136.8016,-22.2188,-0.0016,0.1632,2.1357,0.0003,nan
580,29000,113.9,184.3462,-21.5097,-0.0014,0.1349,2.1539,0.0002,nan
600,,,,,,,,,
600,30000,119.3,168.0892,-24.3418,-0.0012,0.1217,2.1493,-0.0001,nan
620,31000,122.9,220.4120,-26.1635,-0.0014,0.2380,2.1461,0.0005,nan
640,32000,126.5,207.8784,-27.0514,-0.0013,0.1395,2.1448,0.0004,nan
660,33000,130.2,169.9329,-22.0321,-0.0013,0.1147,2.1365,-0.0001,nan
680,34000,133.8,190.2675,-26.8205,-0.0014,0.0952,2.1509,-0.0000,nan
700,,,,,,,,,
700,35000,139.1,137.9916,-22.7129,-0.0018,0.1030,2.1232,0.0002,nan
720,36000,142.8,231.3336,-28.2238,-0.0013,0.1503,2.1592,0.0000,nan
740,37000,146.5,170.9647,-32.9604,-0.0017,0.1676,2.1389,0.0008,nan
760,38000,150.2,212.0614,-27.2171,-0.0013,0.1008,2.1278,0.0004,nan
780,39000,153.9,163.3755,-23.5708,-0.0014,0.1226,2.1379,0.0004,nan
800,,,,,,,,,
800,40000,159.3,179.0126,-18.8211,-0.0012,0.0842,2.1194,0.0001,nan
820,41000,162.9,155.5205,-23.8665,-0.0014,0.1086,2.1083,0.0004,nan
840,42000,166.6,191.6386,-30.3705,-0.0013,0.1062,2.1397,-0.0001,nan
860,43000,170.3,141.8596,-25.1718,-0.0011,0.0580,2.1260,0.0001,nan
880,44000,173.9,153.8213,-18.6799,-0.0018,0.0623,2.1258,0.0002,nan
900,,,,,,,,,
900,45000,179.2,136.2935,-25.2291,-0.0018,0.0627,2.1198,0.0000,nan
920,46000,182.7,147.0200,-34.8074,-0.0011,0.0658,2.1310,0.0002,nan
940,47000,186.3,185.4317,-24.3423,-0.0013,0.1429,2.1283,0.0004,nan
960,48000,190.0,160.0862,-20.1745,-0.0013,0.0763,2.1208,0.0001,nan
980,49000,193.6,177.6608,-30.3733,-0.0015,0.0954,2.1071,0.0003,nan
1000,,,,,,,,,
1000,50000,198.8,135.9458,-18.8034,-0.0011,0.0845,2.1220,0.0003,nan
1020,51000,202.4,169.2736,-24.2027,-0.0016,0.1046,2.1474,0.0001,nan
1040,52000,206.1,224.5172,-23.0059,-0.0011,0.1159,2.1545,0.0000,nan
1060,53000,209.8,195.4413,-24.0392,-0.0012,0.0897,2.1404,0.0002,nan
