episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,3.6,42.7629,-14.8326,-0.0040,0.2771,2.2921,0.0000,nan
40,2000,7.3,45.7977,-17.2267,-0.0016,0.5020,2.2879,0.0003,nan
60,3000,11.0,47.2163,-15.9481,-0.0013,0.9137,2.2858,0.0003,nan
80,4000,14.6,36.7036,-25.0614,-0.0015,0.3655,2.2814,0.0005,nan
100,,,,,,,,,
100,5000,19.9,72.4170,-30.3598,-0.0012,0.6040,2.2747,0.0002,nan
120,6000,23.5,84.1562,-15.7257,-0.0014,0.5311,2.2674,-0.0000,nan
140,7000,27.2,88.0536,-24.6844,-0.0013,0.3144,2.2550,0.0002,nan
160,8000,31.0,69.7585,-33.2129,-0.0014,0.2977,2.2562,0.0002,nan
180,9000,34.7,86.7362,-26.8950,-0.0012,0.1510,2.2482,-0.0002,nan
200,,,,,,,,,
200,10000,40.1,61.3981,-24.8497,-0.0014,0.1120,2.2448,0.0000,nan
220,11000,43.7,83.1473,-37.4178,-0.0017,0.0980,2.2467,0.0002,nan
240,12000,47.4,87.3081,-21.2469,-0.0014,0.1289,2.2383,0.0001,nan
260,13000,51.1,99.7956,-22.7712,-0.0012,0.1182,2.2334,-0.0000,nan
280,14000,54.8,103.5372,-26.5282,-0.0012,0.1216,2.2294,0.0002,nan
300,,,,,,,,,
300,15000,60.0,97.8357,-26.1555,-0.0013,0.1047,2.2225,0.0003,nan
320,16000,63.7,115.9662,-22.6812,-0.0009,0.1287,2.2234,0.0000,nan
340,17000,67.3,101.9809,-18.1715,-0.0014,0.0762,2.2251,0.0001,nan
360,18000,71.0,123.1540,-24.9328,-0.0012,0.1260,2.2189,0.0002,nan
380,19000,74.8,102.6848,-26.3570,-0.0015,0.0840,2.2092,0.0005,nan
400,,,,,,,,,
400,20000,80.0,129.3927,-29.3946,-0.0016,0.1452,2.2065,0.0004,nan
420,21000,83.6,157.4676,-21.2329,-0.0011,0.1277,2.2073,0.0003,nan
440,22000,87.2,116.6921,-24.0686,-0.0016,0.1062,2.2014,0.0000,nan
460,23000,91.0,159.2363,-18.0982,-0.0014,0.1227,2.1904,0.0005,nan
480,24000,94.7,126.6317,-22.9369,-0.0014,0.1288,2.1981,0.0002,nan
500,,,,,,,,,
500,25000,100.0,141.0623,-22.4902,-0.0013,0.1039,2.1765,0.0001,nan
520,26000,103.7,119.7093,-26.8522,-0.0013,0.1206,2.1699,0.0002,nan
540,27000,107.4,166.3493,-29.8123,-0.0011,0.1619,2.1723,0.0004,nan
560,28000,111.1,177.4136,-34.4307,-0.0013,0.1545,2.1801,0.0000,nan
580,29000,114.7,169.3248,-20.7134,-0.0014,0.0941,2.1616,-0.0001,nan
600,,,,,,,,,
600,30000,120.1,154.5160,-34.2011,-0.0017,0.0966,2.1428,0.0004,nan
620,31000,123.8,116.5514,-31.6358,-0.0018,0.0918,2.1584,0.0005,nan
640,32000,127.4,117.2164,-26.4634,-0.0014,0.0719,2.1606,0.0002,nan
660,33000,131.1,110.5541,-16.1509,-0.0009,0.0625,2.1552,0.0001,nan
680,34000,134.7,191.7221,-25.2338,-0.0014,0.1346,2.1609,0.0002,nan
700,,,,,,,,,
700,35000,139.9,160.5226,-17.6384,-0.0017,0.0668,2.1539,0.0005,nan
720,36000,143.5,163.1748,-23.7913,-0.0017,0.0828,2.1380,0.0005,nan
740,37000,147.2,153.4383,-37.0722,-0.0012,0.1220,2.1545,0.0001,nan
760,38000,150.8,152.2107,-27.1869,-0.0018,0.0663,2.1446,0.0002,nan
780,39000,154.5,171.1216,-25.1348,-0.0015,0.0901,2.1551,0.0002,nan
800,,,,,,,,,
800,40000,159.9,170.3988,-21.0673,-0.0015,0.1032,2.1467,0.0003,nan
820,41000,163.5,185.6654,-39.2379,-0.0012,0.1231,2.1425,0.0003,nan
840,42000,167.0,155.6598,-30.0636,-0.0013,0.1327,2.1502,0.0003,nan
860,43000,170.8,203.9796,-25.2332,-0.0011,0.1119,2.1458,0.0002,nan
880,44000,174.4,182.2154,-22.8521,-0.0012,0.1094,2.1443,-0.0000,nan
900,,,,,,,,,
900,45000,179.6,170.5739,-25.6966,-0.0014,0.0986,2.1399,0.0001,nan
920,46000,183.3,180.1606,-26.6953,-0.0011,0.0819,2.1338,-0.0001,nan
940,47000,187.0,216.5895,-23.0257,-0.0014,0.1158,2.1261,0.0003,nan
960,48000,190.6,208.5793,-19.7062,-0.0010,0.0862,2.1352,0.0000,nan
980,49000,194.3,150.5073,-23.4131,-0.0013,0.0835,2.1102,0.0002,nan
1000,,,,,,,,,
1000,50000,199.6,165.3894,-40.6214,-0.0015,0.0651,2.1052,0.0001,nan
1020,51000,203.2,178.4991,-24.5006,-0.0015,0.1320,2.1035,0.0003,nan
1040,52000,206.9,208.6483,-23.9911,-0.0012,0.0723,2.1068,-0.0000,nan
1060,53000,210.6,202.1659,-25.6134,-0.0015,0.0804,2.1111,0.0005,nan
1080,54000,214.3,161.8142,-27.6366,-0.0015,0.0928,2.1160,0.0002,nan
1100,,,,,,,,,
1100,55000,219.6,167.7015,-26.6907,-0.0017,0.0673,2.1005,0.0001,nan
1120,56000,223.1,170.3386,-24.7269,-0.0018,0.0744,2.0834,0.0002,nan
1140,57000,226.8,176.1130,-22.1791,-0.0018,0.0846,2.0771,0.0003,nan
1160,58000,230.4,166.8588,-26.2444,-0.0011,0.0745,2.0798,0.0000,nan
1180,59000,234.2,228.6419,-27.5620,-0.0014,0.1003,2.0766,0.0002,nan
1200,,,,,,,,,
1200,60000,239.5,180.9504,-30.2016,-0.0016,0.0858,2.1002,0.0002,nan
1220,61000,243.2,171.2221,-25.9909,-0.0015,0.1043,2.0885,-0.0006,nan
1240,62000,246.8,203.5609,-22.0833,-0.0016,0.1022,2.0906,0.0005,nan
1260,63000,250.5,192.6786,-25.7992,-0.0012,0.1283,2.0669,-0.0000,nan
1280,64000,254.1,206.8005,-28.4648,-0.0015,0.1105,2.0800,-0.0001,nan
1300,,,,,,,,,
1300,65000,259.2,190.5372,-29.2771,-0.0013,0.1007,2.0947,0.0002,nan
1320,66000,263.1,175.9724,-28.7942,-0.0021,0.0862,2.0799,0.0003,nan
1340,67000,266.8,195.3862,-33.6085,-0.0015,0.1145,2.0965,-0.0001,nan
1360,68000,270.5,222.1151,-22.2968,-0.0012,0.1128,2.0908,-0.0000,nan
1380,69000,274.2,234.1280,-25.6016,-0.0013,0.1295,2.0981,0.0000,nan
1400,,,,,,,,,
