episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,2.7,54.4037,-21.2550,-0.0543,3.2630,nan,nan,nan
40,2000,5.4,49.6930,-20.4105,-0.1688,3.2242,nan,nan,nan
60,3000,8.2,48.9185,-17.6483,-0.2831,2.7769,nan,nan,nan
80,4000,10.9,22.8565,-34.9923,-0.3926,3.3235,nan,nan,nan
100,,,,,,,,,
100,5000,15.1,42.1053,-33.7748,-0.4830,2.5024,nan,nan,nan
120,6000,17.9,36.0857,-15.7380,-0.5616,2.4472,nan,nan,nan
140,7000,20.8,28.3238,-12.1702,-0.5673,2.3030,nan,nan,nan
160,8000,23.7,40.9966,-21.8478,-0.5801,2.5282,nan,nan,nan
180,9000,26.6,66.9233,-36.6189,-0.5613,2.4798,nan,nan,nan
200,,,,,,,,,
200,10000,30.8,16.7256,-42.4860,-0.5530,2.6101,nan,nan,nan
220,11000,33.6,26.3752,-28.9708,-0.5484,2.0807,nan,nan,nan
240,12000,36.5,34.6900,-35.1567,-0.5334,2.6446,nan,nan,nan
260,13000,39.6,32.5717,-29.5794,-0.5220,2.2872,nan,nan,nan
280,14000,42.4,25.0425,-38.2885,-0.5105,2.5603,nan,nan,nan
300,,,,,,,,,
300,15000,46.8,30.6595,-38.1008,-0.5167,2.0195,nan,nan,nan
320,16000,49.7,44.1837,-41.1750,-0.4822,2.6773,nan,nan,nan
340,17000,52.5,38.0805,-12.9998,-0.5131,2.5318,nan,nan,nan
360,18000,55.4,41.1721,-49.6330,-0.5091,2.1204,nan,nan,nan
380,19000,58.4,30.6219,-28.1641,-0.5188,2.1474,nan,nan,nan
400,,,,,,,,,
400,20000,62.6,34.1904,-21.1233,-0.5280,2.4483,nan,nan,nan
420,21000,65.5,47.9452,-26.9348,-0.5464,2.4969,nan,nan,nan
440,22000,68.3,35.2021,-20.6467,-0.5623,2.1231,nan,nan,nan
460,23000,71.3,25.9886,-34.3259,-0.5952,2.6086,nan,nan,nan
480,24000,74.1,32.9825,-47.2734,-0.6351,2.2995,nan,nan,nan
500,,,,,,,,,
500,25000,78.4,21.5132,-35.6372,-0.6693,2.9944,nan,nan,nan
520,26000,81.4,25.9914,-35.4231,-0.6889,2.5187,nan,nan,nan
540,27000,84.5,48.5722,-33.4207,-0.7259,2.1486,nan,nan,nan
560,28000,87.4,32.1922,-40.8640,-0.7125,2.1535,nan,nan,nan
580,29000,90.5,28.3060,-15.8414,-0.6654,2.1091,nan,nan,nan
600,,,,,,,,,
600,30000,94.7,39.1272,-39.6543,-0.6680,2.4213,nan,nan,nan
620,31000,97.6,20.6994,-33.6114,-0.6612,1.9117,nan,nan,nan
640,32000,100.5,38.0141,-33.8407,-0.6606,2.3867,nan,nan,nan
660,33000,103.4,29.1675,-42.6353,-0.6942,2.2001,nan,nan,nan
680,34000,106.3,42.0851,-30.7002,-0.7019,1.8902,nan,nan,nan
700,,,,,,,,,
700,35000,110.6,32.1534,-62.1783,-0.7156,2.3930,nan,nan,nan
720,36000,113.5,35.7643,-31.4281,-0.7422,2.0341,nan,nan,nan
740,37000,116.4,46.8539,-76.4094,-0.7264,2.5151,nan,nan,nan
760,38000,119.4,42.3696,-42.2807,-0.7138,2.0249,nan,nan,nan
780,39000,122.3,38.0570,-34.5457,-0.7705,2.2152,nan,nan,nan
800,,,,,,,,,
800,40000,126.6,40.5761,-32.1881,-0.7992,2.0513,nan,nan,nan
820,41000,129.5,24.1884,-50.0551,-0.8145,2.5802,nan,nan,nan
840,42000,132.4,46.7200,-18.6554,-0.8234,1.9464,nan,nan,nan
860,43000,135.3,26.2040,-23.8764,-0.8222,1.7617,nan,nan,nan
880,44000,138.3,29.0825,-34.6229,-0.8106,2.3704,nan,nan,nan
900,,,,,,,,,
900,45000,142.8,19.0906,-35.2469,-0.7884,1.8675,nan,nan,nan
920,46000,146.1,30.6662,-32.2029,-0.8298,2.1957,nan,nan,nan
940,47000,149.3,35.5542,-11.9921,-0.8410,2.4180,nan,nan,nan
960,48000,152.4,31.3718,-19.3964,-0.8417,2.3958,nan,nan,nan
980,49000,155.5,12.5367,-30.5254,-0.8161,2.2236,nan,nan,nan
1000,,,,,,,,,
1000,50000,160.0,24.3151,-35.6662,-0.8495,2.2981,nan,nan,nan
1020,51000,163.0,15.0568,-39.3910,-0.8996,2.5591,nan,nan,nan
1040,52000,165.9,19.9689,-30.0239,-0.9224,2.1252,nan,nan,nan
1060,53000,169.0,27.1941,-31.6878,-0.8527,2.1407,nan,nan,nan
1080,54000,171.9,26.9911,-26.1471,-0.8879,2.2370,nan,nan,nan
1100,,,,,,,,,
1100,55000,176.2,13.7551,-22.4134,-0.9134,2.1460,nan,nan,nan
1120,56000,179.2,18.8566,-27.1545,-0.8997,1.8325,nan,nan,nan
1140,57000,182.1,24.3125,-32.0402,-0.8531,1.9402,nan,nan,nan
1160,58000,185.1,36.7519,-44.7069,-0.8647,2.3083,nan,nan,nan
1180,59000,188.1,16.5863,-25.4250,-0.8685,1.4826,nan,nan,nan
1200,,,,,,,,,
1200,60000,192.5,23.3963,-35.6550,-0.8979,2.2639,nan,nan,nan
1220,61000,195.4,21.6940,-39.9337,-0.9070,1.8207,nan,nan,nan
1240,62000,198.4,33.1967,-20.2128,-0.9042,1.7858,nan,nan,nan
1260,63000,201.3,24.2561,-26.8115,-0.9568,1.7659,nan,nan,nan
1280,64000,204.2,14.9931,-48.7771,-0.9279,1.9740,nan,nan,nan
1300,,,,,,,,,
1300,65000,208.8,23.7760,-30.6049,-0.8866,1.8899,nan,nan,nan
1320,66000,211.8,14.1119,-35.8680,-0.9086,2.0841,nan,nan,nan
1340,67000,215.1,23.9730,-29.5448,-0.9590,2.1144,nan,nan,nan
1360,68000,218.0,17.8479,-16.4667,-0.9493,2.3251,nan,nan,nan
1380,69000,221.0,33.8993,-13.7834,-0.9510,1.5629,nan,nan,nan
1400,,,,,,,,,
1400,70000,225.3,31.2519,-19.2278,-1.0095,2.0852,nan,nan,nan
1420,71000,228.3,42.4567,-15.1697,-0.9985,1.4942,nan,nan,nan
1440,72000,231.2,27.0477,-32.5045,-0.9321,1.8138,nan,nan,nan
1460,73000,234.1,22.0783,-22.7039,-0.9084,1.9368,nan,nan,nan
1480,74000,236.9,36.0571,-17.3073,-0.9338,2.0116,nan,nan,nan
1500,,,,,,,,,
1500,75000,241.2,40.5377,-27.4955,-0.9516,2.1864,nan,nan,nan
1520,76000,244.1,25.6965,-27.2826,-0.9571,2.1943,nan,nan,nan
1540,77000,247.1,40.9575,-18.1152,-0.9898,1.9857,nan,nan,nan
1560,78000,250.0,27.9285,-28.3324,-1.0213,1.8716,nan,nan,nan
1580,79000,253.0,26.9586,-21.4729,-1.0579,2.2467,nan,nan,nan
1600,,,,,,,,,
1600,80000,257.3,22.5769,-21.8116,-1.0708,1.9416,nan,nan,nan
1620,81000,260.2,20.6811,-37.0773,-1.0409,1.8706,nan,nan,nan
1640,82000,263.1,10.8942,-17.2727,-1.0245,1.8342,nan,nan,nan
1660,83000,266.1,23.7987,-31.7001,-1.0155,1.9427,nan,nan,nan
1680,84000,268.9,25.8282,-24.2860,-0.9932,1.6801,nan,nan,nan
1700,,,,,,,,,
1700,85000,273.3,32.6877,-23.2460,-1.0162,1.8843,nan,nan,nan
1720,86000,276.1,33.8328,-20.0239,-1.0407,1.6545,nan,nan,nan
1740,87000,279.1,37.8076,-23.3834,-1.0263,1.6595,nan,nan,nan
1760,88000,281.9,23.6362,-30.5843,-1.0844,2.1010,nan,nan,nan
1780,89000,284.9,31.2940,-14.0752,-1.1039,1.8767,nan,nan,nan
1800,,,,,,,,,
1800,90000,289.1,22.5534,-22.4756,-1.0757,1.8839,nan,nan,nan
1820,91000,292.0,21.4993,-14.2888,-1.0950,2.0946,nan,nan,nan
1840,92000,294.9,20.0737,-26.1609,-1.0635,1.6142,nan,nan,nan
1860,93000,297.9,15.9576,-27.7949,-1.0943,1.6464,nan,nan,nan
1880,94000,300.8,22.3170,-22.9594,-1.1126,1.8214,nan,nan,nan
1900,,,,,,,,,
1900,95000,305.1,27.9070,-23.1248,-1.1672,2.1574,nan,nan,nan
