episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,2.6,55.1717,-22.4514,nan,nan,nan,nan,2.9689
40,2000,5.1,52.5404,-24.7579,nan,nan,nan,nan,3.4005
60,3000,8.0,56.3709,-18.9768,nan,nan,nan,nan,3.9890
80,4000,10.9,34.9031,-37.1412,nan,nan,nan,nan,3.9777
100,,,,,,,,,
100,5000,15.0,52.5908,-21.2305,nan,nan,nan,nan,3.2090
120,6000,17.7,29.3457,-26.8774,nan,nan,nan,nan,3.3112
140,7000,20.4,45.3401,-24.8317,nan,nan,nan,nan,3.2239
160,8000,23.0,13.7779,-17.9792,nan,nan,nan,nan,3.1545
180,9000,25.7,47.1511,-26.6886,nan,nan,nan,nan,3.2120
200,,,,,,,,,
200,10000,29.7,29.6264,-38.6972,nan,nan,nan,nan,2.6518
220,11000,32.3,31.0465,-30.5290,nan,nan,nan,nan,2.2986
240,12000,35.0,34.4651,-16.3615,nan,nan,nan,nan,2.5423
260,13000,38.0,46.8034,-22.4794,nan,nan,nan,nan,2.4698
280,14000,40.9,30.0624,-21.1725,nan,nan,nan,nan,2.3792
300,,,,,,,,,
300,15000,45.0,62.4191,-41.0944,nan,nan,nan,nan,2.0040
320,16000,47.6,38.7614,-13.7734,nan,nan,nan,nan,2.4379
340,17000,50.4,56.0272,-20.2486,nan,nan,nan,nan,2.3164
360,18000,53.0,56.6557,-44.7068,nan,nan,nan,nan,2.8500
380,19000,55.8,59.3575,-27.5163,nan,nan,nan,nan,2.9502
400,,,,,,,,,
400,20000,59.8,44.4870,-19.0216,nan,nan,nan,nan,2.7951
420,21000,62.5,45.7527,-27.2290,nan,nan,nan,nan,3.2640
440,22000,65.1,39.9252,-16.0322,nan,nan,nan,nan,2.7635
460,23000,67.9,45.7944,-16.4451,nan,nan,nan,nan,3.1632
480,24000,70.8,43.4985,-27.6733,nan,nan,nan,nan,2.9884
500,,,,,,,,,
500,25000,75.1,29.2443,-17.3388,nan,nan,nan,nan,2.2999
520,26000,78.0,40.7036,-30.4284,nan,nan,nan,nan,2.8936
540,27000,80.8,51.4025,-21.4568,nan,nan,nan,nan,2.7707
560,28000,83.5,62.4190,-23.6806,nan,nan,nan,nan,2.2079
