episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,2.6,46.4952,-30.0055,nan,nan,nan,nan,nan
40,2000,5.1,56.5440,-51.6506,nan,nan,nan,nan,nan
60,3000,7.6,50.9792,-49.8806,nan,nan,nan,nan,nan
80,4000,10.2,32.5230,-69.6683,nan,nan,nan,nan,nan
100,,,,,,,,,
100,5000,14.1,53.4771,-48.4196,nan,nan,nan,nan,nan
120,6000,16.7,44.1066,-27.4173,nan,nan,nan,nan,nan
140,7000,19.2,64.2002,-62.2577,nan,nan,nan,nan,nan
160,8000,21.7,55.0147,-78.0149,nan,nan,nan,nan,nan
180,9000,24.2,63.3428,-65.2145,nan,nan,nan,nan,nan
200,,,,,,,,,
200,10000,28.1,45.5447,-47.6651,nan,nan,nan,nan,nan
220,11000,30.6,44.0819,-59.7134,nan,nan,nan,nan,nan
240,12000,33.1,37.4980,-83.6409,nan,nan,nan,nan,nan
260,13000,35.7,58.5140,-36.9857,nan,nan,nan,nan,nan
280,14000,38.2,68.7914,-33.5627,nan,nan,nan,nan,nan
300,,,,,,,,,
300,15000,42.0,49.7284,-35.1069,nan,nan,nan,nan,nan
320,16000,44.5,45.9064,-23.6505,nan,nan,nan,nan,nan
340,17000,47.1,66.1088,-37.8947,nan,nan,nan,nan,nan
360,18000,49.6,70.9450,-36.4525,nan,nan,nan,nan,nan
380,19000,52.2,39.0375,-47.0366,nan,nan,nan,nan,nan
400,,,,,,,,,
400,20000,56.0,49.4678,-56.5696,nan,nan,nan,nan,nan
420,21000,58.5,64.2175,-38.4149,nan,nan,nan,nan,nan
440,22000,61.0,68.9611,-28.9977,nan,nan,nan,nan,nan
460,23000,63.5,53.1707,-51.7271,nan,nan,nan,nan,nan
480,24000,66.0,60.2751,-32.9750,nan,nan,nan,nan,nan
500,,,,,,,,,
500,25000,69.8,66.9335,-38.8831,nan,nan,nan,nan,nan
520,26000,72.4,47.3866,-47.2274,nan,nan,nan,nan,nan
540,27000,75.0,69.3703,-43.8592,nan,nan,nan,nan,nan
560,28000,77.5,56.1943,-54.6320,nan,nan,nan,nan,nan
