episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,4.9,3.404,-85.975,-0.0064,-0.0033,-0.0049,0.3047,1.6049,1.6011,0.0016
40,2000,10.1,3.614,-37.817,-0.0028,-0.0011,-0.0040,0.2627,1.5969,1.5913,0.0007
60,3000,15.3,7.157,-26.036,-0.0020,-0.0003,-0.0026,0.1291,1.5923,1.5767,0.0001
80,4000,20.5,4.063,-17.889,-0.0020,-0.0009,-0.0014,0.1096,1.5906,1.5681,-0.0001
100,5000,25.8,11.890,-23.677,-0.0019,-0.0011,-0.0010,0.0750,1.5895,1.5554,0.0005
120,6000,31.0,6.561,-22.052,-0.0021,-0.0013,-0.0021,0.0397,1.5837,1.5489,0.0000
140,7000,36.1,12.698,-19.059,-0.0022,-0.0010,-0.0027,0.0225,1.5727,1.5489,0.0003
160,8000,41.3,13.536,-17.372,-0.0022,-0.0004,-0.0029,0.0123,1.5487,1.5435,0.0001
180,9000,46.4,11.963,-16.375,-0.0017,-0.0013,-0.0023,0.0064,1.5507,1.5426,-0.0002
200,,,,,,,,,,,
200,10000,53.8,10.111,-12.201,-0.0027,-0.0023,-0.0017,0.0048,1.5635,1.5247,-0.0000
220,11000,58.9,8.628,-7.479,-0.0021,-0.0019,-0.0007,0.0044,1.5653,1.5311,-0.0004
240,12000,63.9,26.470,-23.557,-0.0020,-0.0019,-0.0012,0.0065,1.5657,1.5191,0.0001
260,13000,69.2,24.537,-19.915,-0.0020,-0.0011,-0.0017,0.0075,1.5616,1.5166,0.0001
280,14000,74.4,17.586,-12.154,-0.0021,-0.0010,-0.0026,0.0046,1.5547,1.5193,0.0005
300,15000,79.6,18.130,-14.237,-0.0021,-0.0017,-0.0017,0.0042,1.5359,1.5183,0.0005
320,16000,84.7,24.386,-15.895,-0.0020,-0.0012,-0.0009,0.0048,1.5225,1.5098,-0.0000
340,17000,89.9,17.388,-14.573,-0.0025,-0.0008,-0.0010,0.0056,1.4999,1.5184,-0.0004
360,18000,95.0,25.219,-23.754,-0.0018,-0.0007,-0.0014,0.0065,1.4984,1.5147,-0.0001
380,19000,100.2,31.299,-21.843,-0.0020,-0.0009,-0.0015,0.0062,1.4941,1.4880,-0.0002
400,,,,,,,,,,,
400,20000,107.7,28.697,-19.086,-0.0023,-0.0019,-0.0007,0.0094,1.4913,1.4965,0.0003
420,21000,112.8,32.109,-19.463,-0.0023,-0.0015,-0.0008,0.0072,1.4777,1.4948,-0.0003
440,22000,118.0,38.711,-24.493,-0.0019,-0.0007,-0.0005,0.0115,1.4774,1.4959,-0.0003
460,23000,123.2,33.931,-21.539,-0.0022,-0.0006,-0.0011,0.0093,1.4660,1.4940,0.0004
480,24000,128.3,37.016,-21.729,-0.0021,-0.0006,-0.0007,0.0096,1.4727,1.4909,-0.0001
500,25000,133.6,34.315,-21.267,-0.0021,-0.0006,-0.0011,0.0069,1.4737,1.4919,0.0001
520,26000,138.8,29.760,-19.927,-0.0023,-0.0007,-0.0007,0.0073,1.4766,1.4969,0.0001
540,27000,144.0,38.237,-23.098,-0.0021,-0.0006,-0.0010,0.0084,1.4771,1.5052,0.0007
560,28000,149.1,46.170,-27.909,-0.0018,-0.0010,-0.0014,0.0116,1.4650,1.5030,0.0003
580,29000,154.3,33.359,-19.310,-0.0016,-0.0011,-0.0014,0.0082,1.4387,1.5175,0.0001
600,,,,,,,,,,,
600,30000,161.7,23.938,-16.720,-0.0015,-0.0007,-0.0009,0.0068,1.4465,1.5251,0.0002
620,31000,166.8,35.910,-23.481,-0.0022,-0.0003,-0.0011,0.0106,1.4458,1.5203,-0.0000
640,32000,172.1,24.290,-16.900,-0.0020,-0.0007,-0.0030,0.0074,1.4245,1.5094,0.0002
660,33000,177.2,18.858,-15.050,-0.0022,-0.0010,-0.0023,0.0114,1.4425,1.5072,-0.0002
680,34000,182.2,21.840,-21.686,-0.0019,-0.0006,-0.0016,0.0096,1.4117,1.4984,0.0005
700,35000,187.3,14.490,-19.920,-0.0012,-0.0010,-0.0007,0.0092,1.4159,1.5139,0.0002
720,36000,192.2,27.861,-23.494,-0.0017,-0.0020,-0.0022,0.0117,1.4248,1.4899,0.0004
740,37000,197.2,25.742,-17.573,-0.0016,-0.0011,-0.0015,0.0124,1.4038,1.4925,0.0005
760,38000,202.3,25.696,-22.335,-0.0017,-0.0020,-0.0022,0.0096,1.4198,1.4682,0.0005
780,39000,207.4,29.549,-24.362,-0.0017,-0.0003,-0.0010,0.0095,1.4175,1.4985,0.0001
800,,,,,,,,,,,
800,40000,214.8,30.976,-26.729,-0.0017,-0.0005,-0.0017,0.0094,1.4078,1.4816,0.0002
820,41000,219.9,35.939,-23.727,-0.0017,-0.0014,-0.0008,0.0112,1.4249,1.4818,0.0003
840,42000,224.9,49.072,-30.113,-0.0013,-0.0007,-0.0026,0.0167,1.4183,1.4808,-0.0003
860,43000,230.0,41.519,-24.223,-0.0020,-0.0006,-0.0021,0.0134,1.4224,1.4713,-0.0001
880,44000,235.1,44.946,-30.822,-0.0018,-0.0006,-0.0024,0.0143,1.3904,1.4567,0.0003
900,45000,240.2,40.141,-24.153,-0.0017,-0.0005,-0.0019,0.0169,1.3968,1.4580,-0.0002
920,46000,245.3,22.522,-16.651,-0.0014,-0.0010,-0.0028,0.0114,1.4180,1.4637,-0.0002
940,47000,250.5,17.651,-21.862,-0.0025,-0.0010,-0.0008,0.0099,1.3972,1.4548,0.0002
960,48000,255.6,18.637,-20.949,-0.0014,-0.0005,-0.0015,0.0159,1.4079,1.4668,-0.0002
980,49000,260.8,29.149,-24.124,-0.0025,-0.0007,-0.0021,0.0097,1.4331,1.4327,-0.0002
1000,,,,,,,,,,,
1000,50000,268.2,32.891,-27.289,-0.0022,-0.0015,-0.0035,0.0168,1.4069,1.4503,0.0000
1020,51000,273.4,27.128,-21.686,-0.0029,-0.0011,-0.0033,0.0158,1.4147,1.4327,0.0005
1040,52000,278.5,26.662,-24.311,-0.0019,-0.0009,-0.0022,0.0140,1.4141,1.4194,0.0007
1060,53000,284.0,21.790,-32.676,-0.0024,-0.0008,-0.0018,0.0128,1.4033,1.4185,0.0002
1080,54000,289.1,18.672,-20.996,-0.0021,-0.0009,-0.0016,0.0074,1.4012,1.4700,0.0004
1100,55000,294.5,43.441,-29.286,-0.0019,-0.0010,-0.0009,0.0276,1.3992,1.4611,0.0004
1120,56000,299.7,37.663,-24.627,-0.0020,-0.0009,-0.0010,0.0182,1.4146,1.4676,-0.0003
1140,57000,304.9,31.229,-20.021,-0.0015,-0.0012,-0.0029,0.0131,1.4020,1.4367,0.0007
1160,58000,310.0,22.807,-18.920,-0.0023,-0.0009,-0.0017,0.0135,1.3870,1.4615,-0.0002
1180,59000,315.1,17.073,-17.805,-0.0013,-0.0009,-0.0025,0.0089,1.4209,1.4137,-0.0003
1200,,,,,,,,,,,
1200,60000,322.6,26.525,-32.983,-0.0017,-0.0009,-0.0015,0.0208,1.4008,1.4041,0.0003
1220,61000,327.7,24.963,-26.803,-0.0028,-0.0011,-0.0015,0.0165,1.4078,1.4069,-0.0007
1240,62000,332.8,34.720,-25.408,-0.0023,-0.0011,-0.0019,0.0151,1.4049,1.4271,0.0002
1260,63000,337.9,23.802,-16.151,-0.0029,-0.0017,-0.0021,0.0138,1.3824,1.4132,0.0004
1280,64000,343.3,33.997,-24.571,-0.0018,-0.0013,-0.0010,0.0172,1.3969,1.4225,0.0005
1300,65000,348.5,30.056,-37.997,-0.0014,-0.0007,-0.0041,0.0196,1.3813,1.4094,0.0002
1320,66000,353.5,33.903,-23.305,-0.0023,-0.0010,-0.0023,0.0172,1.3857,1.4084,0.0004
1340,67000,358.6,37.293,-24.062,-0.0028,-0.0010,-0.0008,0.0182,1.3953,1.4192,0.0000
1360,68000,363.8,46.400,-26.116,-0.0017,-0.0006,-0.0014,0.0269,1.3671,1.3953,-0.0002
1380,69000,368.9,37.114,-22.537,-0.0025,-0.0006,-0.0010,0.0247,1.3801,1.4148,0.0001
1400,,,,,,,,,,,
1400,70000,376.4,41.862,-22.829,-0.0025,-0.0013,-0.0009,0.0225,1.3610,1.4009,0.0001
1420,71000,381.5,46.515,-26.824,-0.0022,-0.0007,-0.0014,0.0269,1.3757,1.3995,0.0003
1440,72000,386.6,50.978,-29.424,-0.0022,-0.0009,-0.0007,0.0219,1.3862,1.4067,0.0002
1460,73000,391.7,51.739,-31.797,-0.0028,-0.0010,-0.0026,0.0220,1.3664,1.4077,0.0002
1480,74000,397.0,35.462,-21.621,-0.0026,-0.0006,-0.0014,0.0243,1.3923,1.4219,-0.0000
