episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,5.0,2.830,-86.521,-0.0062,-0.0034,-0.0049,0.3058,1.6037,1.6010,0.0017
40,2000,10.4,3.613,-36.047,-0.0027,-0.0008,-0.0040,0.2295,1.5968,1.5908,0.0007
60,3000,15.7,8.603,-31.163,-0.0017,-0.0009,-0.0025,0.1365,1.5951,1.5766,0.0002
80,4000,21.0,4.642,-14.801,-0.0020,-0.0013,-0.0014,0.1111,1.5910,1.5695,-0.0003
100,5000,26.3,16.452,-28.724,-0.0020,-0.0005,-0.0011,0.0600,1.5827,1.5566,0.0006
120,6000,31.6,3.714,-18.928,-0.0024,-0.0009,-0.0020,0.0345,1.5742,1.5524,0.0001
140,7000,36.9,11.051,-16.167,-0.0025,-0.0005,-0.0034,0.0198,1.5670,1.5473,-0.0002
160,8000,42.1,11.068,-14.845,-0.0015,-0.0018,-0.0026,0.0105,1.5707,1.5350,-0.0001
180,9000,47.3,4.975,-11.305,-0.0021,-0.0026,-0.0010,0.0044,1.5806,1.5333,0.0001
200,,,,,,,,,,,
200,10000,54.8,11.617,-17.261,-0.0025,-0.0011,-0.0017,0.0041,1.5769,1.5135,-0.0001
220,11000,59.9,16.905,-11.150,-0.0023,-0.0005,-0.0008,0.0041,1.5732,1.5281,-0.0000
240,12000,65.1,23.214,-17.649,-0.0019,-0.0006,-0.0010,0.0098,1.5731,1.5195,-0.0002
260,13000,70.4,22.206,-18.623,-0.0024,-0.0011,-0.0015,0.0070,1.5617,1.5138,0.0001
280,14000,75.5,14.858,-13.031,-0.0017,-0.0018,-0.0007,0.0047,1.5550,1.5245,0.0008
300,15000,80.9,18.680,-13.720,-0.0031,-0.0010,-0.0013,0.0053,1.5436,1.5290,0.0003
320,16000,86.1,32.437,-18.969,-0.0023,-0.0008,-0.0007,0.0074,1.5325,1.5157,0.0006
340,17000,91.3,33.075,-19.256,-0.0026,-0.0011,-0.0013,0.0088,1.5195,1.5308,-0.0002
360,18000,96.5,30.237,-20.633,-0.0023,-0.0010,-0.0007,0.0065,1.5145,1.5263,0.0002
380,19000,101.6,35.928,-21.794,-0.0018,-0.0006,-0.0017,0.0083,1.5067,1.5149,-0.0002
400,,,,,,,,,,,
400,20000,109.1,33.725,-21.354,-0.0023,-0.0010,-0.0010,0.0072,1.4972,1.5164,0.0003
420,21000,114.4,29.744,-17.563,-0.0021,-0.0006,-0.0007,0.0087,1.4834,1.5305,0.0002
440,22000,119.6,27.895,-16.239,-0.0018,-0.0017,-0.0014,0.0079,1.4804,1.5293,0.0001
460,23000,124.8,23.265,-15.212,-0.0021,-0.0012,-0.0012,0.0065,1.4466,1.5124,0.0008
480,24000,129.9,32.918,-22.614,-0.0020,-0.0010,-0.0016,0.0069,1.4386,1.5198,0.0000
500,25000,135.2,24.298,-16.914,-0.0013,-0.0017,-0.0015,0.0058,1.4236,1.5133,0.0006
520,26000,140.4,38.981,-24.600,-0.0020,-0.0009,-0.0017,0.0091,1.4307,1.5098,0.0005
540,27000,145.7,24.792,-31.586,-0.0024,-0.0014,-0.0009,0.0075,1.4427,1.5158,-0.0001
560,28000,150.9,28.232,-41.744,-0.0020,-0.0014,-0.0029,0.0088,1.4358,1.5128,0.0006
580,29000,156.0,36.894,-23.158,-0.0020,-0.0007,-0.0014,0.0148,1.4236,1.5006,0.0007
600,,,,,,,,,,,
600,30000,163.4,41.517,-27.592,-0.0018,-0.0022,-0.0022,0.0130,1.4257,1.5040,-0.0003
620,31000,168.5,38.988,-24.507,-0.0021,-0.0003,-0.0026,0.0136,1.4117,1.5090,0.0002
640,32000,173.7,28.079,-20.777,-0.0024,-0.0009,-0.0028,0.0097,1.4099,1.5098,0.0001
660,33000,178.9,25.393,-19.923,-0.0019,-0.0013,-0.0038,0.0084,1.4282,1.4917,-0.0000
680,34000,184.1,18.934,-14.190,-0.0020,-0.0022,-0.0032,0.0070,1.4164,1.4957,0.0002
700,35000,189.2,23.278,-24.255,-0.0014,-0.0023,-0.0010,0.0098,1.4427,1.4823,0.0009
720,36000,194.4,17.561,-23.090,-0.0016,-0.0020,-0.0006,0.0107,1.4382,1.4785,0.0001
740,37000,199.7,16.383,-35.961,-0.0020,-0.0013,-0.0039,0.0077,1.4209,1.4932,0.0001
760,38000,204.8,34.047,-32.912,-0.0017,-0.0018,-0.0021,0.0103,1.3966,1.4658,0.0006
780,39000,210.0,32.526,-24.385,-0.0013,-0.0014,-0.0029,0.0098,1.3933,1.4662,0.0001
800,,,,,,,,,,,
800,40000,217.3,38.516,-23.350,-0.0017,-0.0010,-0.0010,0.0191,1.3784,1.4722,0.0005
