episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,5.2,7.440,-64.108,-0.0052,-0.0024,-0.0058,0.9294,1.6042,1.6003,0.0008
40,2000,10.7,4.422,-42.511,-0.0029,-0.0011,-0.0034,0.7652,1.6014,1.5908,0.0004
60,3000,15.9,8.417,-23.330,-0.0016,-0.0015,-0.0010,0.8742,1.5965,1.5776,0.0002
80,4000,21.0,9.109,-13.895,-0.0025,-0.0009,-0.0013,0.9961,1.5922,1.5768,-0.0002
100,5000,26.2,6.465,-12.223,-0.0020,-0.0006,-0.0010,1.1697,1.5813,1.5645,0.0001
120,6000,31.5,8.702,-12.841,-0.0017,-0.0014,-0.0026,0.6209,1.5817,1.5450,0.0002
140,7000,36.7,9.365,-16.306,-0.0017,-0.0005,-0.0012,0.5983,1.5773,1.5309,0.0000
160,8000,42.0,13.725,-15.333,-0.0020,-0.0008,-0.0017,0.5209,1.5768,1.5297,0.0004
180,9000,47.2,15.729,-13.309,-0.0014,-0.0005,-0.0018,0.6690,1.5731,1.5109,-0.0002
200,,,,,,,,,,,
200,10000,54.7,16.777,-16.588,-0.0021,-0.0012,-0.0011,0.4188,1.5704,1.4975,0.0002
220,11000,59.8,12.946,-13.608,-0.0018,-0.0009,-0.0007,0.2296,1.5572,1.4640,0.0003
240,12000,64.9,13.045,-15.312,-0.0022,-0.0009,-0.0016,0.2721,1.5302,1.4835,-0.0001
260,13000,70.1,8.061,-11.790,-0.0019,-0.0007,-0.0025,0.1463,1.5341,1.4765,0.0000
280,14000,75.4,10.802,-9.809,-0.0016,-0.0010,-0.0012,0.1758,1.5279,1.4837,0.0005
300,15000,80.7,19.664,-14.310,-0.0020,-0.0013,-0.0011,0.3418,1.5531,1.4622,0.0003
320,16000,85.8,12.247,-11.705,-0.0017,-0.0018,-0.0009,0.1900,1.5555,1.4633,0.0007
340,17000,91.0,11.434,-7.943,-0.0022,-0.0015,-0.0007,0.1831,1.5469,1.4871,0.0002
360,18000,96.2,22.188,-15.032,-0.0022,-0.0008,-0.0009,0.3118,1.5490,1.4679,0.0004
380,19000,101.4,14.034,-13.864,-0.0024,-0.0005,-0.0008,0.1807,1.5386,1.5003,0.0001
400,,,,,,,,,,,
400,20000,108.8,20.558,-13.717,-0.0025,-0.0011,-0.0011,0.1927,1.5281,1.5081,-0.0002
420,21000,113.9,20.597,-16.528,-0.0023,-0.0008,-0.0009,0.3282,1.5107,1.4949,0.0001
440,22000,119.1,30.373,-22.391,-0.0023,-0.0007,-0.0011,0.3542,1.5174,1.4901,0.0003
460,23000,124.1,19.667,-16.330,-0.0026,-0.0010,-0.0011,0.1939,1.5201,1.5068,0.0001
480,24000,129.3,26.170,-15.371,-0.0018,-0.0007,-0.0004,0.2534,1.5207,1.4992,0.0006
500,25000,134.4,22.235,-14.738,-0.0032,-0.0017,-0.0006,0.2619,1.5247,1.4871,0.0004
