episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,10.6,5.314,-59.102,-0.0062,-0.0029,-0.0044,0.3048,1.6017,1.5982,-0.0003
40,2000,21.5,6.783,-58.935,-0.0022,-0.0013,-0.0027,0.1910,1.5869,1.5905,0.0000
60,3000,32.3,10.694,-24.582,-0.0020,-0.0008,-0.0032,0.0714,1.5666,1.5792,0.0010
80,4000,43.0,10.306,-21.673,-0.0023,-0.0011,-0.0021,0.0636,1.5449,1.5597,0.0005
100,5000,53.6,6.999,-13.275,-0.0018,-0.0006,-0.0020,0.0519,1.5268,1.5488,0.0000
120,6000,64.2,12.003,-8.832,-0.0015,-0.0011,-0.0009,0.0230,1.5237,1.5437,-0.0001
140,7000,74.8,10.303,-11.019,-0.0025,-0.0044,-0.0018,0.0125,1.5519,1.5295,0.0014
160,8000,85.4,7.539,-10.169,-0.0026,-0.0041,-0.0011,0.0067,1.5703,1.5254,-0.0002
180,9000,95.8,12.361,-17.640,-0.0024,-0.0027,-0.0019,0.0040,1.5751,1.5064,0.0008
200,,,,,,,,,,,
200,10000,110.8,20.699,-16.083,-0.0025,-0.0019,-0.0018,0.0045,1.5518,1.5179,0.0014
220,11000,121.5,14.517,-10.642,-0.0021,-0.0018,-0.0017,0.0033,1.5467,1.5050,0.0008
240,12000,132.3,9.783,-9.351,-0.0018,-0.0012,-0.0028,0.0035,1.5226,1.5150,0.0007
260,13000,143.0,10.414,-10.333,-0.0017,-0.0021,-0.0014,0.0062,1.5202,1.5144,-0.0002
280,14000,153.8,5.020,-11.480,-0.0021,-0.0031,-0.0007,0.0044,1.5426,1.5003,0.0013
300,15000,164.7,19.773,-18.709,-0.0016,-0.0025,-0.0007,0.0064,1.5484,1.4985,0.0010
320,16000,175.0,22.406,-17.139,-0.0024,-0.0015,-0.0020,0.0070,1.5434,1.4934,0.0003
340,17000,185.1,20.267,-14.514,-0.0018,-0.0022,-0.0022,0.0061,1.5466,1.4925,0.0000
360,18000,195.3,27.901,-21.775,-0.0021,-0.0004,-0.0015,0.0072,1.5350,1.4988,0.0004
380,19000,205.4,20.434,-12.326,-0.0023,-0.0007,-0.0011,0.0051,1.5265,1.4964,0.0002
400,,,,,,,,,,,
400,20000,220.0,29.774,-18.387,-0.0017,-0.0009,-0.0013,0.0076,1.5286,1.4938,-0.0001
420,21000,230.1,19.101,-12.086,-0.0013,-0.0010,-0.0006,0.0049,1.5308,1.4838,0.0002
