episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,4.9,2.739,-91.056,-0.0053,-0.0023,-0.0066,0.3052,1.6001,1.6014,0.0006
40,2000,9.7,10.397,-49.461,-0.0022,-0.0010,-0.0032,1.1116,1.5853,1.5883,-0.0000
60,3000,14.6,6.220,-16.680,-0.0021,-0.0011,-0.0018,0.4833,1.5744,1.5810,0.0001
80,4000,19.4,12.804,-30.385,-0.0018,-0.0007,-0.0015,0.5744,1.5734,1.5596,-0.0001
100,5000,24.2,14.260,-15.374,-0.0022,-0.0008,-0.0006,0.3979,1.5663,1.5458,0.0002
120,6000,29.0,13.034,-19.412,-0.0017,-0.0008,-0.0012,0.3240,1.5580,1.5448,0.0002
140,7000,33.8,9.097,-12.868,-0.0023,-0.0009,-0.0019,0.1754,1.5390,1.5435,0.0007
160,8000,38.6,14.761,-13.315,-0.0019,-0.0011,-0.0016,0.1981,1.5413,1.5425,-0.0004
180,9000,43.4,24.171,-15.916,-0.0014,-0.0009,-0.0015,0.2422,1.5275,1.5389,0.0003
200,,,,,,,,,,,
200,10000,50.3,17.501,-11.428,-0.0016,-0.0012,-0.0015,0.1279,1.5317,1.5338,0.0001
220,11000,54.9,20.545,-15.147,-0.0015,-0.0012,-0.0010,0.1427,1.5368,1.5353,0.0011
240,12000,59.7,17.255,-15.611,-0.0020,-0.0015,-0.0015,0.0872,1.5296,1.5206,0.0003
260,13000,64.6,23.735,-26.266,-0.0019,-0.0015,-0.0015,0.0836,1.5275,1.5279,0.0004
280,14000,69.5,24.025,-16.805,-0.0019,-0.0013,-0.0013,0.1203,1.5078,1.5069,0.0002
300,15000,74.6,29.622,-20.610,-0.0019,-0.0006,-0.0007,0.1880,1.5155,1.5075,-0.0000
320,16000,79.4,31.280,-20.294,-0.0018,-0.0013,-0.0010,0.1469,1.4992,1.4830,0.0004
340,17000,84.3,20.099,-14.793,-0.0019,-0.0008,-0.0027,0.1008,1.4781,1.5052,-0.0004
360,18000,89.3,27.419,-17.478,-0.0018,-0.0008,-0.0015,0.1404,1.4701,1.5038,0.0002
380,19000,94.3,25.839,-15.241,-0.0022,-0.0007,-0.0014,0.1019,1.4814,1.5071,0.0001
400,,,,,,,,,,,
400,20000,101.3,24.294,-19.151,-0.0018,-0.0011,-0.0014,0.1016,1.4802,1.5113,-0.0000
420,21000,106.2,18.389,-14.644,-0.0032,-0.0019,-0.0010,0.0895,1.5001,1.5074,0.0006
440,22000,111.3,21.999,-17.457,-0.0019,-0.0010,-0.0008,0.1050,1.4886,1.4793,-0.0001
460,23000,116.3,27.500,-17.494,-0.0017,-0.0014,-0.0012,0.1307,1.4795,1.4798,-0.0001
480,24000,121.2,40.431,-23.564,-0.0014,-0.0014,-0.0011,0.1961,1.4625,1.4747,0.0003
500,25000,126.2,26.231,-24.686,-0.0019,-0.0018,-0.0011,0.1300,1.4334,1.4838,0.0001
520,26000,131.2,35.971,-21.906,-0.0013,-0.0011,-0.0026,0.1072,1.4117,1.4593,0.0008
540,27000,136.2,41.145,-25.592,-0.0017,-0.0009,-0.0010,0.2205,1.4032,1.4461,0.0003
560,28000,141.2,40.008,-26.759,-0.0019,-0.0012,-0.0018,0.1386,1.4041,1.4657,0.0006
580,29000,146.2,30.259,-19.851,-0.0017,-0.0008,-0.0021,0.1204,1.4219,1.4671,0.0004
600,,,,,,,,,,,
600,30000,153.3,26.903,-16.132,-0.0015,-0.0006,-0.0017,0.1074,1.4038,1.4663,0.0001
620,31000,158.1,27.248,-17.322,-0.0014,-0.0013,-0.0018,0.1021,1.4221,1.4581,0.0003
640,32000,163.1,24.804,-18.201,-0.0016,-0.0017,-0.0031,0.1385,1.4382,1.4553,0.0002
660,33000,168.0,24.218,-21.674,-0.0020,-0.0010,-0.0036,0.0797,1.4531,1.4504,0.0007
680,34000,173.0,32.195,-24.486,-0.0017,-0.0005,-0.0018,0.1193,1.4584,1.4659,0.0003
700,35000,178.0,18.039,-17.195,-0.0013,-0.0007,-0.0005,0.1101,1.4664,1.4998,0.0002
720,36000,183.0,25.034,-22.025,-0.0016,-0.0009,-0.0006,0.1458,1.4570,1.4910,-0.0003
740,37000,187.9,38.174,-25.995,-0.0017,-0.0010,-0.0016,0.1958,1.4305,1.4947,0.0004
760,38000,192.8,30.061,-22.702,-0.0017,-0.0011,-0.0011,0.1210,1.4354,1.4796,0.0002
780,39000,197.7,44.507,-33.164,-0.0019,-0.0008,-0.0022,0.2068,1.4292,1.4584,0.0002
800,,,,,,,,,,,
800,40000,204.7,43.825,-25.662,-0.0017,-0.0008,-0.0008,0.1695,1.4154,1.4619,0.0004
820,41000,209.6,40.553,-24.830,-0.0027,-0.0008,-0.0010,0.1077,1.4203,1.4624,-0.0005
840,42000,214.7,35.128,-22.409,-0.0015,-0.0009,-0.0019,0.1531,1.4364,1.4500,0.0000
860,43000,219.7,31.385,-25.423,-0.0016,-0.0009,-0.0010,0.1447,1.4353,1.4631,-0.0001
880,44000,224.7,32.725,-30.795,-0.0020,-0.0016,-0.0031,0.1410,1.4176,1.4230,0.0005
900,45000,229.7,28.709,-17.186,-0.0016,-0.0012,-0.0032,0.0960,1.3945,1.4723,0.0003
920,46000,234.6,25.164,-17.888,-0.0013,-0.0016,-0.0012,0.1230,1.4096,1.4565,0.0005
940,47000,239.6,28.482,-26.134,-0.0017,-0.0019,-0.0010,0.1138,1.4216,1.4505,0.0009
960,48000,244.5,45.535,-33.675,-0.0019,-0.0014,-0.0008,0.2185,1.4059,1.4591,0.0011
980,49000,249.6,44.855,-34.662,-0.0019,-0.0012,-0.0006,0.1488,1.4058,1.4684,0.0002
1000,,,,,,,,,,,
1000,50000,256.6,51.907,-35.849,-0.0019,-0.0011,-0.0017,0.2594,1.4132,1.4567,0.0005
1020,51000,261.5,53.418,-34.448,-0.0014,-0.0012,-0.0016,0.2528,1.3726,1.4271,0.0005
1040,52000,266.3,46.596,-27.149,-0.0018,-0.0011,-0.0009,0.2001,1.3455,1.4369,-0.0001
1060,53000,271.1,41.202,-24.896,-0.0018,-0.0014,-0.0027,0.2529,1.3459,1.4518,0.0004
1080,54000,276.1,44.458,-24.018,-0.0018,-0.0017,-0.0016,0.1808,1.3748,1.4541,0.0009
1100,55000,281.0,50.047,-28.080,-0.0010,-0.0012,-0.0014,0.2055,1.3476,1.4467,0.0004
1120,56000,285.9,54.183,-29.522,-0.0017,-0.0015,-0.0023,0.1475,1.3624,1.4693,-0.0001
1140,57000,290.7,42.024,-28.869,-0.0018,-0.0009,-0.0029,0.1466,1.3492,1.4485,0.0002
