episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,5.1,2.250,-91.232,-0.0054,-0.0026,-0.0066,0.4099,1.5996,1.6014,0.0003
40,2000,10.0,10.923,-50.462,-0.0025,-0.0012,-0.0032,1.1045,1.5867,1.5883,0.0001
60,3000,14.8,8.291,-18.324,-0.0021,-0.0010,-0.0017,0.3856,1.5726,1.5791,0.0001
80,4000,20.2,9.658,-28.187,-0.0018,-0.0006,-0.0016,0.2815,1.5692,1.5589,0.0001
100,5000,25.0,15.402,-17.626,-0.0019,-0.0007,-0.0010,0.3832,1.5648,1.5473,0.0000
120,6000,29.8,8.905,-16.569,-0.0013,-0.0011,-0.0025,0.2711,1.5624,1.5449,0.0001
140,7000,35.0,8.533,-10.872,-0.0016,-0.0006,-0.0022,0.1608,1.5476,1.5475,-0.0000
160,8000,39.7,6.764,-8.863,-0.0024,-0.0006,-0.0009,0.1706,1.5535,1.5456,0.0004
180,9000,44.5,23.835,-15.253,-0.0015,-0.0015,-0.0010,0.2800,1.5563,1.5416,0.0001
200,,,,,,,,,,,
200,10000,52.2,14.325,-10.401,-0.0019,-0.0014,-0.0005,0.1395,1.5571,1.5373,-0.0001
220,11000,57.0,19.527,-15.829,-0.0019,-0.0014,-0.0008,0.2183,1.5602,1.5368,0.0008
240,12000,62.0,18.139,-12.650,-0.0018,-0.0007,-0.0012,0.2475,1.5530,1.5226,0.0001
260,13000,66.8,18.787,-17.652,-0.0021,-0.0005,-0.0012,0.2045,1.5538,1.5154,-0.0003
280,14000,71.5,18.413,-16.833,-0.0015,-0.0010,-0.0012,0.1407,1.5536,1.5054,0.0003
300,15000,77.4,28.105,-19.030,-0.0019,-0.0008,-0.0009,0.2711,1.5577,1.5011,-0.0001
320,16000,82.1,30.447,-21.296,-0.0019,-0.0010,-0.0009,0.1817,1.5581,1.4784,0.0000
340,17000,86.9,21.523,-14.987,-0.0020,-0.0004,-0.0004,0.1285,1.5522,1.4852,0.0001
360,18000,92.0,22.954,-13.888,-0.0012,-0.0009,-0.0016,0.1357,1.5454,1.4827,0.0006
380,19000,96.9,27.093,-19.387,-0.0022,-0.0007,-0.0008,0.1083,1.5263,1.4858,-0.0000
400,,,,,,,,,,,
400,20000,104.0,37.009,-22.004,-0.0013,-0.0011,-0.0009,0.1786,1.5252,1.4866,0.0001
420,21000,109.4,28.008,-16.786,-0.0024,-0.0010,-0.0011,0.1067,1.5191,1.4868,0.0004
440,22000,114.2,49.494,-27.443,-0.0016,-0.0012,-0.0007,0.2472,1.5236,1.4752,0.0005
460,23000,119.0,43.880,-24.935,-0.0013,-0.0007,-0.0007,0.1724,1.5042,1.4731,0.0001
480,24000,124.0,48.096,-27.881,-0.0016,-0.0009,-0.0012,0.1006,1.5047,1.4880,0.0000
500,25000,128.9,45.407,-23.993,-0.0018,-0.0010,-0.0012,0.1858,1.5057,1.4940,0.0005
520,26000,133.5,31.927,-19.578,-0.0021,-0.0017,-0.0016,0.0872,1.4859,1.4951,0.0002
540,27000,139.4,38.058,-26.483,-0.0020,-0.0009,-0.0013,0.0649,1.4823,1.4871,-0.0000
560,28000,144.2,38.052,-36.943,-0.0019,-0.0008,-0.0027,0.0765,1.4692,1.4851,0.0005
580,29000,149.0,27.642,-23.799,-0.0017,-0.0008,-0.0014,0.0737,1.4634,1.5023,0.0006
600,,,,,,,,,,,
600,30000,156.0,40.957,-24.462,-0.0028,-0.0013,-0.0018,0.0616,1.4812,1.4915,0.0005
620,31000,160.7,34.121,-22.382,-0.0019,-0.0009,-0.0024,0.0488,1.4572,1.4972,0.0004
640,32000,166.5,28.894,-17.766,-0.0019,-0.0006,-0.0011,0.0535,1.4415,1.4995,0.0001
660,33000,171.4,31.035,-18.801,-0.0018,-0.0009,-0.0010,0.0427,1.4307,1.4714,0.0003
680,34000,176.2,20.157,-17.884,-0.0025,-0.0007,-0.0009,0.0525,1.4407,1.4828,0.0008
700,35000,181.1,26.880,-16.644,-0.0016,-0.0014,-0.0010,0.0588,1.4458,1.4885,0.0004
720,36000,186.2,35.913,-21.112,-0.0023,-0.0007,-0.0006,0.0535,1.4354,1.5092,0.0002
740,37000,191.2,28.275,-19.551,-0.0024,-0.0010,-0.0009,0.0722,1.4461,1.4979,0.0004
760,38000,196.6,29.943,-20.162,-0.0018,-0.0008,-0.0006,0.0752,1.4509,1.4998,0.0002
780,39000,201.6,30.683,-25.237,-0.0015,-0.0009,-0.0008,0.0670,1.4295,1.4968,0.0002
800,,,,,,,,,,,
800,40000,208.5,31.233,-29.258,-0.0024,-0.0009,-0.0018,0.0668,1.4463,1.4829,0.0005
820,41000,214.7,35.526,-27.500,-0.0027,-0.0009,-0.0016,0.0581,1.4346,1.4860,-0.0000
840,42000,219.7,33.991,-20.482,-0.0023,-0.0009,-0.0016,0.0969,1.4447,1.4958,0.0004
860,43000,224.7,27.642,-17.701,-0.0024,-0.0007,-0.0010,0.0679,1.4265,1.4859,0.0002
880,44000,230.6,32.762,-26.126,-0.0017,-0.0007,-0.0012,0.0737,1.4087,1.4888,0.0003
900,45000,235.6,42.049,-24.876,-0.0018,-0.0012,-0.0007,0.0665,1.3829,1.4910,-0.0001
920,46000,241.5,43.742,-27.638,-0.0011,-0.0008,-0.0010,0.0861,1.3823,1.5016,-0.0002
940,47000,246.4,55.658,-33.515,-0.0020,-0.0009,-0.0015,0.1503,1.3940,1.4981,0.0004
960,48000,251.3,35.141,-23.736,-0.0026,-0.0007,-0.0008,0.0735,1.3870,1.5145,0.0002
980,49000,256.5,35.848,-30.459,-0.0022,-0.0007,-0.0006,0.0633,1.3841,1.5079,-0.0001
1000,,,,,,,,,,,
1000,50000,263.9,47.534,-31.354,-0.0021,-0.0011,-0.0006,0.1227,1.3945,1.4996,0.0007
1020,51000,268.8,40.338,-29.506,-0.0021,-0.0003,-0.0007,0.0796,1.3898,1.4910,0.0000
1040,52000,275.9,40.315,-30.841,-0.0026,-0.0007,-0.0017,0.0798,1.3697,1.4871,0.0001
1060,53000,280.9,47.160,-30.340,-0.0010,-0.0011,-0.0008,0.0687,1.3899,1.4902,0.0002
1080,54000,286.7,49.903,-29.452,-0.0020,-0.0008,-0.0010,0.0708,1.3846,1.4940,0.0003
1100,55000,291.8,43.975,-28.505,-0.0031,-0.0005,-0.0013,0.0951,1.3745,1.5063,0.0001
1120,56000,296.6,39.709,-25.274,-0.0015,-0.0008,-0.0019,0.1096,1.3955,1.5118,0.0001
1140,57000,301.9,30.565,-24.778,-0.0020,-0.0010,-0.0031,0.0709,1.3890,1.5049,-0.0002
1160,58000,306.8,34.109,-19.065,-0.0019,-0.0007,-0.0020,0.0780,1.3592,1.5151,0.0003
1180,59000,311.5,26.952,-18.533,-0.0016,-0.0008,-0.0018,0.0792,1.3678,1.4918,0.0005
1200,,,,,,,,,,,
