episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,4.1,1.468,-91.339,-0.0054,-0.0024,-0.0067,0.2932,1.6003,1.6014,0.0002
40,2000,8.3,5.212,-46.268,-0.0021,-0.0008,-0.0030,0.7798,1.5895,1.5885,-0.0000
60,3000,12.6,9.962,-16.774,-0.0020,-0.0012,-0.0013,0.9652,1.5775,1.5788,-0.0001
80,4000,16.8,10.436,-25.768,-0.0021,-0.0010,-0.0015,0.6693,1.5713,1.5589,0.0001
100,5000,21.0,15.156,-18.036,-0.0023,-0.0004,-0.0007,0.4622,1.5661,1.5490,0.0002
120,6000,25.1,3.248,-11.006,-0.0014,-0.0006,-0.0027,0.1759,1.5591,1.5487,0.0000
140,7000,29.4,11.197,-11.068,-0.0014,-0.0014,-0.0013,0.2561,1.5554,1.5433,0.0008
160,8000,33.6,8.486,-8.999,-0.0022,-0.0011,-0.0012,0.1487,1.5654,1.5434,0.0006
180,9000,37.8,23.384,-14.268,-0.0016,-0.0014,-0.0010,0.2959,1.5705,1.5453,-0.0001
200,,,,,,,,,,,
200,10000,43.8,24.842,-16.423,-0.0021,-0.0010,-0.0011,0.2690,1.5733,1.5424,0.0001
220,11000,47.8,25.688,-18.575,-0.0015,-0.0010,-0.0010,0.2342,1.5643,1.5445,0.0004
240,12000,52.0,20.521,-17.214,-0.0016,-0.0008,-0.0012,0.1791,1.5602,1.5291,0.0004
260,13000,56.3,14.608,-15.860,-0.0028,-0.0009,-0.0019,0.0815,1.5518,1.5239,0.0002
280,14000,60.4,19.029,-14.277,-0.0017,-0.0010,-0.0024,0.0902,1.5428,1.5082,0.0002
300,15000,64.6,20.925,-17.306,-0.0020,-0.0011,-0.0014,0.1075,1.5517,1.5056,0.0010
320,16000,68.7,21.611,-17.365,-0.0023,-0.0017,-0.0007,0.1104,1.5517,1.4851,0.0004
340,17000,72.7,23.751,-17.969,-0.0017,-0.0015,-0.0008,0.1939,1.5520,1.4979,0.0006
360,18000,76.8,27.298,-16.905,-0.0016,-0.0006,-0.0011,0.1087,1.5412,1.5056,-0.0000
380,19000,80.9,21.689,-15.322,-0.0016,-0.0005,-0.0010,0.0823,1.5359,1.5149,0.0001
400,,,,,,,,,,,
400,20000,86.9,22.923,-15.300,-0.0018,-0.0006,-0.0008,0.1332,1.5384,1.5175,-0.0000
420,21000,90.9,20.887,-14.989,-0.0027,-0.0009,-0.0011,0.1227,1.5326,1.5210,0.0003
440,22000,95.0,24.527,-16.221,-0.0021,-0.0010,-0.0006,0.1441,1.5285,1.5175,0.0001
460,23000,99.3,26.210,-16.259,-0.0018,-0.0010,-0.0014,0.0971,1.5081,1.5049,0.0001
480,24000,103.4,22.986,-17.044,-0.0016,-0.0008,-0.0015,0.1499,1.5146,1.5110,-0.0000
500,25000,107.6,21.723,-13.878,-0.0015,-0.0007,-0.0012,0.0936,1.4887,1.5168,0.0000
520,26000,111.8,20.742,-13.543,-0.0019,-0.0010,-0.0008,0.1298,1.4912,1.5179,0.0001
540,27000,116.0,32.942,-22.781,-0.0023,-0.0007,-0.0009,0.1493,1.4955,1.5098,0.0002
560,28000,120.1,31.488,-23.843,-0.0014,-0.0012,-0.0017,0.1613,1.4855,1.5172,-0.0001
580,29000,124.2,27.302,-22.232,-0.0018,-0.0014,-0.0017,0.0911,1.4817,1.5065,0.0002
600,,,,,,,,,,,
600,30000,130.2,35.359,-20.221,-0.0021,-0.0025,-0.0011,0.1547,1.4962,1.5103,0.0009
620,31000,134.4,33.624,-22.107,-0.0019,-0.0007,-0.0003,0.1857,1.4760,1.5074,0.0004
640,32000,138.3,27.716,-19.643,-0.0021,-0.0008,-0.0013,0.1166,1.4646,1.5043,0.0004
660,33000,142.4,35.572,-21.455,-0.0017,-0.0010,-0.0017,0.1263,1.4661,1.5073,0.0001
680,34000,146.7,27.400,-16.952,-0.0022,-0.0009,-0.0020,0.1574,1.4692,1.5093,0.0004
700,35000,150.8,25.145,-15.659,-0.0019,-0.0014,-0.0023,0.1272,1.4736,1.5051,0.0003
720,36000,154.9,24.503,-14.989,-0.0021,-0.0010,-0.0006,0.1227,1.4784,1.5206,0.0005
740,37000,159.1,31.863,-19.142,-0.0018,-0.0009,-0.0019,0.1412,1.4725,1.5202,0.0002
760,38000,163.2,20.511,-14.098,-0.0016,-0.0008,-0.0019,0.1041,1.4576,1.5022,-0.0001
780,39000,167.4,22.110,-29.157,-0.0016,-0.0013,-0.0016,0.1695,1.4475,1.4851,-0.0000
800,,,,,,,,,,,
