episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,4.8,2.249,-91.250,-0.0056,-0.0026,-0.0066,0.3301,1.5997,1.6014,0.0005
40,2000,9.8,12.012,-49.335,-0.0027,-0.0008,-0.0031,1.1864,1.5900,1.5886,0.0001
60,3000,16.6,13.315,-20.844,-0.0017,-0.0009,-0.0017,0.7690,1.5802,1.5793,-0.0002
80,4000,21.6,12.012,-34.328,-0.0015,-0.0006,-0.0019,0.2964,1.5833,1.5595,0.0001
100,5000,28.1,9.335,-13.410,-0.0020,-0.0005,-0.0014,0.1899,1.5899,1.5458,-0.0001
120,6000,33.3,6.177,-15.060,-0.0019,-0.0008,-0.0025,0.1531,1.5873,1.5455,0.0004
140,7000,37.9,7.459,-10.966,-0.0022,-0.0009,-0.0015,0.1138,1.5820,1.5446,0.0003
160,8000,42.7,8.474,-9.300,-0.0022,-0.0010,-0.0009,0.1915,1.5766,1.5424,0.0001
180,9000,47.5,15.931,-11.536,-0.0016,-0.0004,-0.0008,0.2012,1.5700,1.5441,-0.0001
200,,,,,,,,,,,
200,10000,54.7,15.674,-11.304,-0.0020,-0.0012,-0.0007,0.2130,1.5722,1.5382,-0.0001
220,11000,59.5,28.204,-18.871,-0.0016,-0.0010,-0.0009,0.4129,1.5731,1.5432,0.0013
240,12000,64.3,22.298,-14.467,-0.0015,-0.0010,-0.0005,0.2981,1.5724,1.5243,0.0004
260,13000,68.9,17.149,-21.141,-0.0015,-0.0008,-0.0008,0.2324,1.5655,1.5246,-0.0002
280,14000,73.5,24.409,-19.083,-0.0020,-0.0008,-0.0011,0.2516,1.5569,1.5165,-0.0000
300,15000,78.1,21.045,-17.886,-0.0019,-0.0008,-0.0015,0.2088,1.5469,1.5135,-0.0001
320,16000,82.6,26.189,-17.187,-0.0011,-0.0008,-0.0010,0.1688,1.5396,1.5025,0.0001
340,17000,87.2,34.375,-21.725,-0.0017,-0.0005,-0.0013,0.2402,1.5405,1.5184,-0.0000
360,18000,91.7,23.349,-15.362,-0.0014,-0.0008,-0.0006,0.1897,1.5276,1.5287,0.0004
380,19000,96.2,20.290,-18.308,-0.0023,-0.0007,-0.0008,0.1210,1.5186,1.5274,0.0002
400,,,,,,,,,,,
400,20000,102.8,17.093,-14.603,-0.0016,-0.0015,-0.0008,0.1058,1.5339,1.5371,0.0002
420,21000,107.2,21.585,-20.004,-0.0018,-0.0022,-0.0015,0.1238,1.5379,1.5218,0.0007
440,22000,111.7,29.483,-20.342,-0.0020,-0.0014,-0.0016,0.1108,1.5313,1.5200,-0.0001
460,23000,116.2,20.457,-17.746,-0.0027,-0.0005,-0.0010,0.0964,1.4967,1.5280,0.0004
480,24000,120.6,26.867,-17.329,-0.0020,-0.0008,-0.0009,0.1107,1.5048,1.5220,0.0002
500,25000,125.3,29.736,-24.507,-0.0021,-0.0004,-0.0013,0.1912,1.4943,1.5222,0.0000
520,26000,129.8,27.509,-18.089,-0.0015,-0.0005,-0.0014,0.1397,1.4830,1.5147,0.0002
540,27000,134.2,27.518,-23.711,-0.0023,-0.0007,-0.0020,0.1563,1.5025,1.5056,0.0000
560,28000,138.6,21.709,-21.630,-0.0017,-0.0011,-0.0034,0.0888,1.4934,1.5274,0.0000
580,29000,143.2,31.977,-26.522,-0.0016,-0.0011,-0.0032,0.1573,1.4955,1.4947,0.0003
600,,,,,,,,,,,
600,30000,149.6,23.534,-17.660,-0.0018,-0.0007,-0.0011,0.1349,1.4975,1.4984,0.0001
620,31000,153.8,25.387,-18.644,-0.0015,-0.0009,-0.0014,0.1470,1.5078,1.4937,0.0006
640,32000,158.3,28.273,-21.382,-0.0017,-0.0015,-0.0015,0.1221,1.5086,1.4679,0.0005
660,33000,162.8,36.510,-28.849,-0.0022,-0.0003,-0.0013,0.1402,1.4927,1.4605,0.0006
680,34000,167.3,37.323,-28.314,-0.0023,-0.0014,-0.0034,0.1501,1.4925,1.4687,-0.0001
700,35000,171.8,25.902,-22.415,-0.0015,-0.0009,-0.0010,0.1501,1.4832,1.4868,0.0007
720,36000,176.3,40.918,-23.763,-0.0012,-0.0006,-0.0014,0.1457,1.4741,1.4963,0.0002
740,37000,180.8,21.373,-15.197,-0.0031,-0.0010,-0.0017,0.1292,1.4745,1.4962,0.0003
760,38000,185.3,23.041,-18.071,-0.0019,-0.0010,-0.0011,0.0989,1.4577,1.4761,0.0001
780,39000,189.8,33.930,-29.041,-0.0014,-0.0009,-0.0020,0.2046,1.4337,1.4684,0.0003
800,,,,,,,,,,,
800,40000,196.2,30.785,-25.553,-0.0021,-0.0009,-0.0018,0.1330,1.4291,1.4506,0.0002
820,41000,200.5,46.781,-28.067,-0.0024,-0.0010,-0.0013,0.1929,1.4259,1.4452,0.0004
840,42000,205.2,29.558,-17.559,-0.0018,-0.0010,-0.0013,0.1399,1.4386,1.4614,-0.0000
860,43000,209.5,31.527,-20.942,-0.0017,-0.0005,-0.0030,0.1187,1.4251,1.4348,-0.0001
880,44000,214.0,25.204,-15.809,-0.0018,-0.0005,-0.0028,0.1189,1.4220,1.4628,0.0000
900,45000,218.5,17.164,-21.133,-0.0012,-0.0015,-0.0007,0.1003,1.4294,1.4709,0.0009
920,46000,223.0,29.115,-21.817,-0.0016,-0.0019,-0.0023,0.1432,1.4362,1.4664,0.0006
940,47000,227.5,23.291,-24.752,-0.0021,-0.0018,-0.0010,0.0959,1.4441,1.4504,0.0001
960,48000,232.1,38.763,-27.448,-0.0016,-0.0018,-0.0006,0.2199,1.4281,1.4568,0.0004
980,49000,236.6,49.081,-31.274,-0.0013,-0.0019,-0.0016,0.3196,1.4308,1.4607,-0.0000
1000,,,,,,,,,,,
1000,50000,243.0,68.984,-38.247,-0.0020,-0.0018,-0.0010,0.3644,1.4247,1.4516,-0.0000
1020,51000,247.5,47.937,-29.693,-0.0020,-0.0016,-0.0010,0.1765,1.3975,1.4666,0.0014
1040,52000,252.0,43.684,-31.533,-0.0020,-0.0009,-0.0013,0.1842,1.3929,1.4469,0.0007
1060,53000,256.5,43.523,-25.582,-0.0018,-0.0008,-0.0030,0.1434,1.3622,1.4724,0.0001
1080,54000,261.0,33.535,-22.292,-0.0024,-0.0008,-0.0026,0.1483,1.3562,1.4670,0.0001
1100,55000,265.6,23.935,-16.676,-0.0022,-0.0009,-0.0026,0.1232,1.4024,1.4760,0.0001
1120,56000,269.8,29.011,-17.896,-0.0023,-0.0011,-0.0027,0.1292,1.3818,1.4782,0.0001
1140,57000,274.3,19.058,-21.890,-0.0028,-0.0017,-0.0019,0.1146,1.4089,1.4721,0.0002
1160,58000,278.9,31.393,-27.720,-0.0024,-0.0018,-0.0020,0.1394,1.3755,1.4551,0.0002
1180,59000,283.5,27.027,-24.271,-0.0019,-0.0018,-0.0013,0.1037,1.3904,1.4719,0.0007
1200,,,,,,,,,,,
1200,60000,290.3,38.976,-24.480,-0.0018,-0.0009,-0.0013,0.1394,1.3796,1.4456,0.0005
1220,61000,295.0,48.549,-30.964,-0.0022,-0.0006,-0.0013,0.1538,1.3912,1.4538,0.0001
1240,62000,299.6,54.305,-32.958,-0.0030,-0.0016,-0.0006,0.2368,1.4074,1.4609,0.0005
1260,63000,304.2,49.527,-30.050,-0.0019,-0.0015,-0.0008,0.1503,1.3571,1.4686,-0.0000
1280,64000,309.1,49.112,-25.513,-0.0018,-0.0015,-0.0011,0.1521,1.3618,1.4695,0.0005
1300,65000,313.8,61.758,-34.509,-0.0020,-0.0010,-0.0012,0.2231,1.3683,1.4789,0.0002
1320,66000,318.7,45.091,-27.126,-0.0018,-0.0011,-0.0013,0.2101,1.3613,1.4775,0.0001
1340,67000,323.6,27.145,-23.485,-0.0021,-0.0002,-0.0026,0.1405,1.4040,1.4556,-0.0003
1360,68000,328.4,32.433,-22.562,-0.0019,-0.0005,-0.0013,0.1209,1.3857,1.4791,0.0002
1380,69000,333.2,22.013,-15.710,-0.0015,-0.0014,-0.0017,0.1270,1.4070,1.4681,0.0002
1400,,,,,,,,,,,
1400,70000,340.1,22.528,-20.829,-0.0017,-0.0013,-0.0019,0.0953,1.3852,1.4731,0.0006
1420,71000,344.6,31.049,-18.315,-0.0012,-0.0018,-0.0021,0.1417,1.3965,1.4829,0.0010
